"","CTallo.L","CTallo.C","CTallo.H","CPFlor.L","CPFlor.C","CPFlor.H","CBaya.L","CBaya.C","CBaya.H","CPTuber.L","CPTuber.C","CPTuber.H","CSTuber.L","CSTuber.C","CSTuber.H","CPulpa.L","CPulpa.C","CPulpa.H","CSPulpa.L","CSPulpa.C","CSPulpa.H","CPBrote.L","CPBrote.C","CPBrote.H","CSBrote.L","CSBrote.C","CSBrote.H"
"15061386",54,44,117,43,40,309,66,48,118,28,16,359,80,32,84,84,18,90,31,34,324,26,20,307,96,7,318
"15061388",54,44,117,61,43,319,58,45,118,35,29,17,82,26,80,92,6,71,41,43,345,57,53,344,94,4,41
"15061389",28,16,359,45,57,327,66,48,118,30,11,328,76,47,85,84,18,90,30,23,344,48,45,302,94,4,41
"15061390",28,16,359,45,57,327,54,44,117,30,11,328,80,41,86,84,18,90,30,33,344,26,20,307,94,4,41
"15061391",28,16,359,36,55,329,54,44,117,28,16,359,80,41,86,84,18,90,29,22,346,26,4,307,95,5,316
"15061392",54,44,117,52,45,305,54,44,117,45,25,28,42,36,41,84,26,94,30,22,322,43,40,309,96,7,318
"15061393",54,44,117,43,40,309,50,38,115,41,37,12,43,28,40,84,18,90,30,30,344,26,20,307,94,4,41
"15061394",54,44,117,43,39,321,66,48,118,50,26,342,60,19,41,84,26,94,27,22,345,26,20,307,96,7,318
"15061396",28,16,359,43,58,312,66,48,118,29,8,313,80,41,86,92,6,71,27,22,344,26,20,307,94,4,41
"15061397",54,44,117,33,58,322,53,38,112,50,26,342,74,37,74,84,26,94,43,39,328,58,42,304,96,7,318
"15062353",54,44,117,45,57,327,58,45,117,76,47,85,39,28,41,84,18,90,43,34,344,44,53,341,94,4,41
"15061400",54,44,117,45,57,327,69,38,111,79,36,83,41,37,41,84,18,90,42,33,346,48,58,336,96,7,318
"15061401",54,44,117,43,58,322,66,48,118,28,16,359,80,41,96,84,18,90,37,22,344,33,26,314,95,5,344
"15062099",54,44,117,45,57,327,54,44,117,27,22,344,80,36,96,84,26,94,30,33,328,38,40,308,94,4,41
"15062100",54,44,117,59,48,315,54,44,117,80,42,96,48,39,33,92,6,71,43,36,346,52,55,328,94,4,41
"15062101",28,16,359,43,40,309,66,48,118,41,37,12,81,41,93,84,18,90,33,33,344,26,20,307,94,4,41
"15062102",54,44,117,58,48,322,58,45,117,79,36,83,60,32,41,92,6,71,29,33,346,54,49,320,94,4,41
"15061404",28,6,23,36,55,329,66,48,118,30,11,328,82,35,93,84,18,90,32,30,328,26,20,307,96,7,347
"15061405",54,44,117,58,45,310,50,38,115,42,36,346,74,35,74,92,6,71,27,30,334,26,20,307,94,4,41
"15061406",54,44,117,43,58,322,54,44,117,34,28,21,81,32,84,84,18,90,37,36,345,26,20,307,96,7,318
"15061410",54,44,117,36,55,329,54,44,117,42,37,18,81,32,84,92,6,71,27,34,328,36,47,317,94,4,41
"15061411",54,44,117,42,39,319,50,38,115,50,26,342,82,35,93,94,4,52,27,37,324,26,20,307,94,4,41
"15061413",28,16,359,61,43,319,71,50,115,29,8,313,76,47,85,84,18,90,30,28,345,26,20,307,94,4,41
"15062103",54,44,117,36,55,329,53,38,115,76,47,85,27,22,41,84,26,94,31,23,345,41,42,316,94,4,41
"15061414",28,16,359,61,43,319,66,48,118,76,47,85,27,19,41,84,18,90,42,36,346,36,39,321,94,4,41
"15062104",54,44,117,33,58,312,58,45,117,79,36,83,74,42,83,84,18,90,37,36,328,26,20,307,94,4,41
"15062105",28,16,359,42,39,319,54,44,117,30,16,3,80,42,96,92,3,71,27,22,344,26,20,307,94,4,41
"15061415",54,44,117,41,58,318,53,38,115,42,37,18,80,42,86,84,18,90,30,30,344,39,57,339,96,7,318
"15062106",28,6,23,36,55,329,54,44,117,30,11,328,80,41,93,84,18,90,30,28,345,26,20,307,96,7,347
"15061416",54,44,117,61,43,319,54,44,117,35,29,17,80,42,96,92,3,71,30,37,316,26,20,307,96,7,318
"15061417",28,16,359,57,46,323,58,45,117,29,8,313,76,47,85,84,24,85,50,26,342,31,33,324,95,5,344
"15061418",28,16,359,57,46,323,66,48,118,76,47,85,30,39,41,92,6,71,42,36,346,31,33,324,94,4,41
"15061419",28,16,359,41,58,318,54,44,117,29,8,313,80,42,96,92,3,71,31,33,324,26,20,307,94,4,41
"15061420",54,44,117,36,39,321,54,44,117,76,47,85,30,41,41,92,6,71,31,30,324,49,42,312,96,7,318
"15061421",54,44,117,65,35,303,66,48,118,34,28,21,75,35,83,84,18,90,41,38,324,26,20,307,96,7,318
"15062366",54,44,117,53,43,320,66,48,118,30,28,345,75,35,83,92,3,71,30,28,345,33,26,314,94,4,41
"15062107",54,44,117,42,39,319,53,38,115,50,26,342,79,36,83,92,3,71,31,34,345,33,26,314,94,4,41
"15062108",28,16,359,53,43,320,54,44,117,29,8,313,80,41,86,92,6,71,30,28,345,33,26,314,94,4,41
"15061422",54,44,117,52,55,328,54,44,117,30,16,3,80,41,86,92,6,71,29,33,328,39,53,346,94,4,41
"15061423",54,44,117,54,49,320,54,44,117,35,29,17,80,41,86,92,6,71,27,36,316,31,33,324,94,4,41
"15061424",28,16,359,57,46,323,54,44,117,30,16,3,80,42,96,84,26,94,32,30,328,65,35,303,96,7,318
"15061425",54,44,117,54,49,320,54,44,117,38,32,14,80,42,96,84,18,90,42,43,346,48,58,336,96,7,318
"15062109",54,44,117,43,58,322,71,50,115,39,28,22,76,47,85,84,18,90,27,28,342,56,48,332,94,4,41
"15062110",28,16,359,54,49,320,50,38,115,39,28,22,80,35,84,84,18,90,42,36,344,39,53,346,94,4,41
"15062111",28,16,359,43,58,322,53,38,115,62,33,349,50,42,41,84,26,94,27,22,344,26,20,307,96,7,318
"15062112",28,16,359,43,58,322,69,48,117,45,42,0,80,41,86,92,3,88,27,22,344,26,20,307,94,4,41
"15061428",54,44,117,54,49,320,66,48,118,38,32,14,80,42,96,84,18,90,30,22,346,48,58,336,94,4,41
"15062354",54,44,117,54,49,320,76,48,116,75,35,83,39,28,41,84,26,94,50,36,344,39,57,339,94,4,41
"15061951",54,44,117,61,43,319,69,48,117,42,37,18,80,41,86,84,18,90,30,28,344,48,58,336,94,4,41
"15061430",54,44,117,41,60,332,54,44,117,42,37,18,76,47,85,84,18,90,27,28,346,39,57,339,94,4,41
"15061434",28,16,359,54,49,320,44,38,116,35,29,17,48,39,41,84,18,90,31,22,344,39,53,346,96,7,318
"15061435",28,16,359,43,58,322,54,44,117,41,37,12,45,42,40,84,18,90,27,22,344,33,26,302,96,7,318
"15061436",54,44,117,57,46,323,50,38,115,76,47,85,64,39,35,92,6,71,27,33,344,43,40,309,94,4,41
"15062114",28,16,359,43,58,322,71,50,115,76,47,85,29,32,41,84,18,90,27,28,346,54,39,308,96,7,318
"15061952",28,16,359,36,39,321,66,48,118,34,28,21,80,41,86,84,18,90,27,28,344,33,26,314,94,4,41
"15062115",28,16,359,54,49,320,66,48,118,80,42,96,29,42,41,84,18,90,42,28,346,49,42,312,94,4,41
"15061437",54,44,117,36,39,321,71,50,115,80,42,96,50,26,41,92,6,71,43,42,345,33,26,314,95,7,318
"15061438",28,6,23,57,46,323,54,44,117,29,8,313,81,32,84,92,6,71,50,26,342,33,26,314,95,5,336
"15061439",54,44,117,36,39,321,54,44,117,76,47,85,28,31,41,84,18,90,27,28,328,27,28,306,94,4,41
"15061441",28,16,359,42,39,319,66,48,118,80,42,96,29,32,40,84,18,90,37,26,344,65,35,303,96,7,318
"15061442",54,44,117,31,33,324,66,48,118,47,20,338,82,35,93,92,6,71,27,36,316,38,40,308,94,4,41
"15061443",54,44,117,53,43,320,71,50,115,76,47,85,43,39,33,84,18,90,37,36,344,57,53,344,94,4,41
"15062367",28,16,359,41,58,318,71,50,115,75,35,83,29,35,41,84,18,90,30,22,344,33,26,314,94,4,41
"15061444",54,44,117,36,55,329,62,43,115,27,19,5,81,41,90,92,6,71,28,26,344,26,20,307,94,4,41
"15061445",28,6,23,42,39,319,54,44,117,80,42,96,45,42,41,84,18,90,31,28,345,38,40,308,94,4,41
"15061953",28,6,23,43,58,322,69,48,117,28,16,359,80,41,86,92,6,71,27,22,344,26,20,307,94,4,41
"15061447",54,44,117,57,46,323,53,38,112,34,28,21,80,42,96,92,6,71,43,38,344,30,28,345,94,4,41
"15061449",54,44,117,58,45,310,69,45,115,51,43,355,80,42,96,84,18,90,31,36,328,26,20,307,96,7,318
"15061453",28,16,359,43,58,322,50,38,115,29,8,313,80,42,96,84,18,90,31,28,346,43,40,309,94,4,41
"15061454",54,44,117,43,58,312,54,44,117,27,19,5,80,42,96,84,18,90,33,33,346,38,40,308,94,4,41
"15062117",54,44,117,43,58,322,66,48,118,38,32,14,84,24,85,84,18,90,36,34,344,39,57,339,96,7,318
"15062118",54,44,117,59,48,315,66,48,118,38,32,14,75,35,83,84,18,90,37,36,333,39,57,339,94,4,41
"15061458",54,44,117,67,41,314,66,48,118,48,39,21,76,47,85,84,26,94,41,34,345,48,58,336,96,7,318
"15061459",28,6,23,49,57,317,50,38,115,29,8,313,80,42,96,92,6,71,37,34,316,33,26,314,96,7,318
"15061461",54,44,117,58,45,310,69,48,117,80,42,96,38,32,41,84,26,94,42,30,345,48,58,336,96,7,318
"15062368",54,44,117,49,57,317,69,48,117,39,28,22,76,47,85,84,26,94,37,23,345,48,58,336,96,7,318
"15062119",28,16,359,43,58,312,66,48,118,29,8,313,75,35,83,92,6,71,42,36,346,26,20,307,94,4,41
"15061462",54,44,117,43,40,309,72,45,115,76,47,85,27,22,41,88,10,96,50,36,324,48,45,302,96,7,318
"15061954",54,44,117,54,49,320,53,38,115,40,35,16,80,41,86,84,18,90,37,34,346,39,57,339,94,4,41
"15061463",54,44,117,61,43,319,54,44,117,28,16,359,80,42,96,88,10,96,42,26,344,33,26,314,94,4,41
"15061469",54,44,117,49,57,317,58,38,112,42,36,346,75,36,83,88,10,96,42,36,328,43,40,309,94,4,41
"15061470",54,44,117,61,43,319,66,48,118,50,26,342,84,22,70,92,6,71,31,33,344,31,33,324,94,4,41
"15061471",49,21,132,59,48,315,54,44,117,42,36,346,81,32,84,92,6,71,27,39,345,33,26,314,96,7,318
"15061475",54,44,117,70,31,304,71,50,115,35,29,17,80,42,96,84,18,90,42,55,324,26,20,307,95,7,344
"15061476",28,16,359,49,42,312,71,50,115,27,22,344,80,42,96,92,6,71,37,36,345,33,26,314,94,4,41
"15061477",54,44,117,43,58,312,72,45,115,29,8,313,84,24,85,92,6,71,31,33,324,26,20,307,96,7,318
"15061478",28,16,359,61,43,319,54,44,117,29,8,313,80,42,96,88,10,96,31,33,324,26,20,307,94,4,41
"15061479",54,44,117,43,58,322,66,48,118,34,28,21,80,42,96,88,10,96,42,33,344,35,41,347,94,4,41
"15061480",28,16,359,52,55,328,54,44,117,45,42,0,80,42,96,84,26,94,30,33,329,43,40,309,96,7,318
"15061481",54,44,117,43,58,322,54,44,117,76,47,85,45,25,40,92,6,71,27,22,324,26,20,307,95,5,344
"15061482",54,44,117,41,60,332,66,50,118,80,42,96,50,29,40,92,6,71,31,33,344,36,47,327,94,4,41
"15061484",45,19,134,42,39,319,72,45,115,40,35,16,81,28,74,84,26,94,27,36,344,26,20,307,94,4,41
"15061485",54,44,117,38,40,308,69,48,117,80,42,96,54,37,41,84,18,90,30,28,346,36,47,317,94,4,41
"15061486",28,6,23,58,45,310,54,44,117,29,8,313,76,42,83,92,6,88,42,26,316,33,26,314,96,7,318
"15061487",28,6,23,42,39,319,53,38,115,30,16,3,80,42,96,92,6,71,27,28,316,26,20,307,96,7,318
"15061488",28,16,359,43,58,322,54,44,117,30,11,328,75,35,83,92,6,71,27,33,324,38,40,308,94,4,41
"15061489",28,16,359,36,55,329,66,48,118,30,16,3,75,35,83,84,18,90,27,28,344,33,26,314,94,4,41
"15061490",28,16,359,43,58,322,66,48,118,30,16,3,80,42,96,84,26,94,30,22,346,48,58,336,94,4,41
"15062122",28,6,23,31,33,324,66,48,118,29,8,313,80,42,86,92,6,71,27,22,344,26,20,307,95,7,318
"15061491",28,16,359,43,58,322,69,48,117,30,11,328,80,41,86,84,18,90,30,28,345,48,58,336,95,7,318
"15061492",28,6,23,61,43,319,54,44,117,30,11,328,80,41,86,82,35,93,30,28,345,41,42,316,94,4,41
"15061493",54,44,117,43,58,312,54,44,117,30,29,7,80,41,86,84,26,94,27,36,316,33,26,314,95,7,318
"15061494",28,16,359,43,58,322,54,44,117,29,8,313,30,29,41,92,6,71,31,22,346,33,26,314,94,4,41
"15061495",28,16,359,43,40,309,72,45,115,30,29,7,80,41,86,84,18,90,33,26,344,26,20,307,96,7,318
"15061496",28,16,359,33,58,312,54,44,117,39,28,22,80,41,86,92,6,71,27,28,345,33,26,314,96,7,318
"15061498",28,6,23,33,34,316,54,44,117,29,8,313,80,41,86,84,18,90,42,36,333,33,26,314,96,7,318
"15062123",54,44,117,58,45,310,54,44,117,75,35,83,42,37,33,92,6,71,30,22,342,26,20,307,94,4,41
"15061499",54,44,117,66,36,309,69,50,117,80,41,86,43,39,40,84,18,90,50,38,344,33,26,314,96,7,318
"15061500",54,44,117,36,55,329,50,38,115,80,42,96,43,39,41,92,3,71,41,33,344,52,55,328,94,4,41
"15061501",28,16,359,43,58,322,50,38,115,69,36,65,42,32,41,92,6,71,42,28,344,41,60,332,96,7,318
"15061503",54,44,117,58,45,310,66,48,118,50,26,342,82,35,93,84,26,94,31,36,324,33,16,308,96,7,318
"15061504",45,19,134,54,49,320,54,44,117,50,26,342,82,35,93,92,6,71,27,38,324,54,39,308,95,7,318
"15061505",49,21,132,36,55,329,66,48,118,43,39,17,79,41,96,84,26,94,27,33,345,39,57,339,95,7,318
"15061507",54,44,117,36,55,329,69,48,117,38,32,14,80,42,96,92,6,71,27,30,334,43,40,309,94,4,41
"15061508",28,16,359,36,55,329,66,48,118,80,42,96,35,29,40,92,6,71,33,28,344,43,40,309,94,4,41
"15061509",54,44,117,36,58,312,66,48,118,30,11,328,80,42,86,84,18,90,27,22,344,33,26,314,94,4,41
"15061511",54,44,117,45,42,326,50,38,115,29,8,313,80,47,96,92,6,71,27,22,344,26,20,307,94,4,41
"15061514",54,44,117,66,36,309,66,48,118,42,37,18,80,41,86,84,18,90,30,36,329,26,20,307,96,7,318
"15062124",45,19,134,53,49,326,69,48,116,28,11,318,48,19,41,84,18,90,27,22,344,33,26,314,96,7,318
"15061515",45,19,134,52,45,319,58,38,112,35,29,17,73,31,53,84,18,90,27,36,346,33,26,314,96,7,318
"15061516",28,16,359,41,60,332,66,48,118,38,32,14,73,33,74,94,5,52,30,22,344,36,47,346,95,5,344
"15061517",42,17,138,43,58,322,54,44,117,30,29,7,80,42,96,84,18,90,29,33,344,27,31,304,96,7,318
"15061518",54,44,117,43,58,322,66,48,118,30,29,7,80,41,86,92,6,71,27,22,346,59,40,305,94,4,41
"15061520",54,44,117,43,58,322,50,38,115,39,28,22,80,41,86,82,35,93,30,33,345,43,38,334,94,4,41
"15061521",28,16,359,61,43,319,66,48,118,35,29,17,80,41,86,82,35,93,30,22,344,43,42,324,96,7,318
"15061522",28,16,359,43,58,322,66,48,118,76,47,85,38,32,33,92,6,71,29,22,344,26,20,307,94,4,41
"15061523",28,16,359,43,58,322,72,45,115,30,16,3,80,42,96,92,6,71,29,23,333,26,20,307,94,4,41
"15061524",28,16,359,61,43,319,62,43,115,30,11,328,37,42,33,92,6,71,31,22,345,33,26,314,96,7,318
"15061525",54,44,117,31,33,324,72,45,115,42,36,346,80,42,96,92,6,71,30,36,329,49,42,312,96,7,318
"15061526",28,16,359,49,42,312,54,44,117,27,19,5,75,35,83,84,26,94,32,28,334,33,26,302,94,4,41
"15061527",28,16,359,59,48,315,50,38,115,27,19,5,80,41,96,84,18,90,42,28,324,43,58,312,95,5,344
"15061528",28,6,23,43,58,322,66,48,118,38,32,14,30,32,41,84,18,90,42,22,344,26,20,307,95,5,344
"15061529",54,44,117,61,49,305,66,48,118,30,11,328,80,42,86,84,18,90,31,33,324,33,26,314,96,7,318
"15061530",54,44,117,36,39,321,66,48,118,30,16,3,74,37,74,92,6,71,31,28,344,48,45,302,94,4,41
"15061533",54,44,117,26,52,310,53,38,115,28,16,359,80,41,86,92,6,71,27,23,344,33,26,314,96,7,318
"15061534",54,44,117,54,49,320,50,38,115,28,11,318,80,42,96,80,35,96,33,34,316,38,40,308,96,7,318
"15061535",28,16,359,49,57,317,54,44,117,34,28,21,80,41,86,84,18,90,29,33,345,26,20,307,96,7,318
"15061536",28,16,359,36,55,329,69,45,115,29,8,313,80,41,86,92,6,71,27,22,344,26,20,307,96,7,318
"15061537",54,44,117,42,58,329,71,50,115,50,29,17,82,30,83,84,26,94,30,36,324,54,39,308,94,4,41
"15062126",28,16,359,48,40,314,69,48,117,30,11,328,79,36,83,84,18,90,27,22,344,26,20,307,96,7,318
"15061538",28,16,359,42,39,319,54,43,117,30,11,328,76,47,85,92,6,71,27,22,344,54,39,308,94,4,41
"15061539",54,44,117,43,58,322,54,44,117,75,35,83,27,22,41,84,18,90,30,28,345,43,40,309,96,7,318
"15061540",54,44,117,43,58,322,72,45,115,80,41,86,42,32,33,84,18,90,27,22,344,26,20,307,94,4,41
"15061542",54,44,117,57,46,323,50,38,115,27,19,5,80,41,86,84,18,90,41,37,344,49,57,317,95,7,318
"15061543",54,44,117,45,57,327,66,48,118,38,32,14,80,41,86,84,18,90,27,36,344,33,26,314,94,4,41
"15061544",28,16,359,66,36,324,50,38,115,27,19,5,76,47,85,92,3,71,27,22,344,33,26,314,94,4,41
"15061546",28,16,359,45,57,327,54,44,117,29,8,313,80,41,86,92,6,71,27,22,344,33,26,314,96,7,318
"15061548",54,44,117,36,55,329,54,44,117,30,29,7,76,35,83,84,26,94,27,33,328,45,57,327,96,7,318
"15061549",49,21,132,36,55,329,53,38,112,30,11,328,81,32,84,84,18,90,36,55,329,26,20,307,94,4,41
"15061550",28,16,359,67,41,314,54,44,117,27,19,5,80,42,96,84,26,94,37,36,316,33,26,314,96,7,318
"15061551",54,44,117,45,57,327,69,48,117,80,41,86,50,29,41,92,6,71,30,28,344,48,58,336,94,4,41
"15061552",54,44,117,66,36,324,54,44,117,35,29,17,80,41,96,84,26,94,42,36,324,39,57,339,96,7,318
"15061553",54,44,117,75,26,302,54,44,117,41,37,12,80,42,86,84,18,90,30,39,316,33,26,314,96,7,318
"15061554",42,17,138,61,43,319,54,44,117,74,37,74,42,36,41,82,35,93,27,33,329,41,42,316,96,7,318
"15061555",42,17,138,65,35,303,54,44,117,48,39,21,82,35,93,84,18,90,27,37,324,26,20,307,96,7,318
"15061556",54,44,117,43,58,322,54,44,117,80,42,96,64,28,41,92,6,71,27,33,344,59,48,315,94,4,41
"15061956",28,16,359,61,43,319,54,44,117,34,28,21,80,32,83,84,26,94,43,33,346,33,26,314,94,4,41
"15061957",54,44,117,67,41,314,50,38,115,38,32,14,81,41,96,92,6,71,31,36,316,43,58,322,96,7,318
"15061557",54,44,117,59,48,315,50,38,115,40,35,16,80,42,96,84,18,90,27,34,329,26,20,307,94,4,41
"15061560",54,44,117,61,43,319,66,48,118,40,35,16,54,32,41,84,18,90,29,28,346,33,26,314,96,7,318
"15061561",54,44,117,43,58,322,54,44,117,80,42,96,42,36,41,84,18,90,31,28,346,66,40,333,94,4,41
"15061563",54,44,117,43,58,312,54,44,117,76,47,85,27,19,41,84,18,90,42,36,344,26,20,307,94,4,41
"15061564",54,44,117,61,43,319,53,38,115,57,56,45,80,42,96,92,6,71,30,33,318,36,55,329,94,4,41
"15061565",42,17,138,54,49,320,44,38,116,40,35,16,82,26,80,84,26,94,27,33,344,48,58,336,96,7,318
"15061566",28,16,359,49,57,317,50,38,115,29,8,313,80,42,96,92,6,71,27,22,344,33,26,314,94,4,41
"15061567",54,44,117,63,40,326,66,48,118,76,47,85,45,25,41,84,26,94,50,36,344,39,57,339,94,4,41
"15061568",54,44,117,43,58,322,54,44,117,80,42,96,42,37,41,84,18,90,30,30,344,54,49,320,94,4,41
"15061571",54,44,117,61,43,319,69,45,116,41,37,12,80,28,67,92,6,71,27,30,344,45,57,327,96,7,318
"15061958",54,44,117,67,36,319,77,39,117,76,47,85,43,39,41,84,18,90,50,28,344,48,58,336,94,4,41
"15061575",49,21,132,41,42,316,66,48,118,39,46,9,80,26,83,84,18,90,27,33,346,26,20,307,96,7,318
"15062130",54,44,117,48,41,320,69,48,117,40,35,16,75,35,83,92,6,71,31,36,324,36,47,303,96,7,318
"15061576",49,21,132,67,41,314,54,44,117,82,35,93,42,36,33,84,18,90,30,23,344,33,26,314,94,4,41
"15061577",54,44,117,43,58,322,54,44,117,30,11,328,76,47,85,84,26,94,37,36,328,26,20,307,94,4,41
"15061578",28,6,23,61,43,319,54,44,117,30,16,3,79,36,83,92,6,71,42,34,344,36,55,329,94,4,41
"15061579",28,16,359,43,58,322,72,45,115,30,16,3,80,42,96,92,6,71,27,22,344,33,26,314,94,4,41
"15062356",42,17,138,59,48,315,62,43,116,29,8,313,80,35,83,84,26,94,27,22,344,26,20,307,96,7,318
"15061580",42,17,138,59,40,305,66,48,118,27,19,5,80,42,96,84,18,90,27,28,346,26,20,307,94,4,41
"15061583",54,44,117,59,48,315,54,44,117,50,26,342,84,41,90,92,6,71,30,36,316,54,39,308,96,7,318
"15061584",54,44,117,43,58,322,66,48,118,48,39,21,80,41,86,92,6,71,29,30,344,45,57,327,94,4,41
"15061585",49,21,132,66,36,324,53,38,115,28,16,359,84,24,85,92,3,71,27,36,346,33,26,314,94,4,41
"15061586",54,44,117,67,36,319,66,48,118,80,42,96,54,37,41,92,3,71,42,22,344,46,66,344,95,5,344
"15061588",42,17,138,42,39,319,54,44,117,35,29,17,79,36,83,84,18,90,27,36,344,26,20,307,94,4,41
"15062133",28,6,23,43,58,322,54,44,117,35,29,17,76,37,83,92,6,71,27,33,316,26,20,307,96,7,318
"15061600",54,44,117,63,40,326,54,44,117,35,29,17,81,32,84,84,18,90,41,43,346,61,43,319,96,7,318
"15061601",28,16,359,33,34,316,44,38,116,89,8,95,51,43,41,84,26,94,31,28,324,26,20,307,96,7,318
"15061602",54,44,117,66,36,309,53,38,115,40,35,16,39,37,41,84,26,94,42,33,331,33,34,316,96,7,318
"15061603",28,6,23,42,39,319,66,48,118,29,8,313,80,42,96,92,3,71,27,22,344,27,28,306,96,7,318
"15061604",54,44,117,49,42,312,58,45,117,34,34,8,84,35,86,84,18,90,30,36,334,44,54,336,96,7,318
"15061605",54,44,117,61,43,319,66,48,118,80,42,96,51,43,41,89,8,95,29,22,344,54,49,320,96,7,318
"15061608",54,44,117,56,48,332,53,38,112,84,26,94,45,42,41,84,26,94,42,37,324,31,33,324,94,4,41
"15061609",28,6,23,43,58,322,54,44,117,27,19,5,80,42,96,92,6,71,29,23,333,26,20,307,96,7,318
"15061610",42,17,138,36,39,321,66,48,118,28,16,359,80,42,96,92,6,71,27,33,344,26,20,307,94,4,41
"15061612",28,16,359,43,58,322,54,44,117,80,41,86,31,33,41,92,6,71,43,33,346,33,26,314,95,7,318
"15061613",54,44,117,54,49,320,58,45,117,43,33,10,86,20,78,94,4,71,30,33,346,33,26,314,96,7,318
"15061960",28,6,23,52,45,305,54,44,117,29,8,313,75,42,86,84,18,90,27,26,328,26,20,307,94,4,41
"15061614",54,44,117,54,49,320,54,44,117,39,28,22,82,30,83,92,6,71,32,33,328,31,33,324,96,7,318
"15061961",28,6,23,42,39,319,69,38,117,27,19,5,80,41,86,92,6,71,27,22,344,26,20,307,96,7,318
"15062136",28,6,23,36,55,329,44,38,116,30,29,7,60,31,41,82,35,93,27,22,346,33,26,314,95,7,346
"15062137",28,6,23,43,58,322,54,44,117,30,16,3,80,41,86,92,6,71,30,28,345,36,55,329,94,4,41
"15061619",28,16,359,43,58,322,53,38,115,28,11,318,80,41,86,84,18,90,42,36,346,39,53,346,96,7,318
"15061621",54,44,117,39,57,329,69,48,117,38,32,14,80,29,83,84,26,94,27,30,334,37,43,331,94,4,41
"15061622",54,44,117,52,45,305,54,44,117,76,47,85,28,33,41,84,18,90,27,33,324,26,20,307,96,7,318
"15061623",54,44,117,38,40,308,66,48,118,42,32,25,80,42,96,92,6,71,31,28,324,26,20,307,96,7,318
"15061624",28,6,23,38,40,308,54,44,117,43,39,17,80,42,96,92,6,71,27,28,322,36,55,329,94,4,41
"15062138",28,16,359,43,58,322,69,48,118,29,8,313,75,35,83,92,3,71,27,22,344,27,28,306,94,4,41
"15061626",28,16,359,36,39,321,54,44,117,29,8,313,80,42,96,92,6,71,27,22,344,26,20,307,96,7,318
"15061627",54,44,117,66,36,309,76,48,116,60,32,41,30,28,41,92,6,71,42,33,346,54,49,320,96,7,318
"15061628",54,44,117,36,53,327,69,48,117,79,36,83,32,30,41,84,18,90,41,36,344,38,40,308,96,7,318
"15061629",28,16,359,61,43,319,76,48,115,80,41,86,39,28,41,92,6,71,42,33,345,26,20,307,96,7,318
"15061630",28,16,359,41,58,318,62,43,116,28,11,318,80,42,86,80,35,96,27,22,344,26,20,307,96,7,318
"15061631",28,16,359,43,58,322,66,48,118,28,11,318,76,47,85,92,6,71,27,22,344,27,28,306,94,4,41
"15061632",54,44,117,43,58,322,54,44,117,35,29,17,84,42,96,92,6,71,32,33,346,44,54,322,96,7,318
"15062139",54,44,117,42,39,319,54,44,117,30,29,7,76,47,85,92,6,71,30,30,333,48,58,336,94,4,41
"15061633",28,16,359,49,57,317,54,44,117,79,36,83,79,36,83,92,6,71,30,28,345,43,40,309,94,4,41
"15061962",54,44,117,54,49,320,54,44,117,75,35,83,50,29,41,92,6,71,31,28,346,52,55,328,94,4,41
"15061637",53,38,132,43,58,322,69,48,117,75,35,83,43,33,41,84,18,90,27,22,344,26,20,307,96,7,318
"15061638",54,44,117,54,39,308,54,44,117,75,35,83,43,33,41,84,26,94,43,39,321,33,26,314,96,7,318
"15061639",49,21,132,61,43,319,54,44,117,30,28,345,84,37,90,92,6,71,27,26,344,43,58,322,96,7,318
"15061640",28,16,359,38,40,308,54,44,117,29,8,313,81,32,84,84,18,90,31,28,344,26,20,307,96,7,318
"15061641",54,44,117,54,49,320,54,44,117,30,28,345,82,35,93,94,5,52,31,38,344,59,48,315,96,7,318
"15061642",54,44,117,54,49,320,54,44,117,45,25,28,42,36,41,84,18,90,32,22,344,26,20,307,94,4,41
"15061645",28,6,23,54,49,320,69,45,115,29,8,313,80,41,86,84,18,90,42,36,322,27,28,306,96,7,318
"15061963",28,6,23,43,58,322,58,45,117,28,11,318,80,41,86,92,6,71,31,28,344,43,38,334,94,4,41
"15061646",54,44,117,59,42,310,54,44,117,50,29,17,82,26,80,84,26,94,31,36,316,26,20,307,96,7,318
"15061647",54,44,117,52,45,305,54,44,117,76,47,85,30,28,40,92,6,71,27,28,324,27,28,306,94,4,41
"15061648",53,38,132,43,58,322,66,48,118,28,11,318,74,37,74,84,18,90,30,28,346,26,20,307,94,4,41
"15061649",54,44,117,54,39,308,58,45,117,30,28,345,75,35,83,84,18,90,30,33,331,33,26,314,96,7,318
"15061650",54,44,117,52,45,305,66,48,118,80,42,96,30,36,41,82,35,93,42,33,324,33,26,314,94,4,41
"15061651",58,45,128,43,58,322,69,48,117,30,28,345,75,35,83,92,6,71,27,28,346,33,26,314,94,4,41
"15061653",54,44,117,52,55,328,54,44,117,75,35,83,43,39,40,84,26,94,50,33,346,48,58,336,96,7,318
"15061654",54,44,117,43,58,322,54,44,117,50,26,342,80,28,67,92,6,71,27,33,344,33,26,314,94,4,41
"15061655",54,44,117,66,36,309,66,48,118,76,47,85,42,29,41,84,18,90,37,34,344,36,55,329,94,4,41
"15061656",53,38,132,66,36,309,58,45,118,42,36,346,82,26,80,92,6,71,42,33,344,41,42,316,95,5,344
