"GSCORE","SNP","CHROM","POS","TRAIT","ANNOT"
"0.789","c2_31981","chr06","46539008","CPTuber.H","Phosphoribosyltransferase domain"
"0.789","c1_11802","chr10","5688107","CPTuber.H","Ubiquitin-conjugating enzyme E2"
"0.789","c2_32482","chr12","5891826","CPTuber.H","Rossmann-like alpha/beta/alpha sandwich fold"
"0.789","c1_15973","chr02","17740253","CPTuber.H","Hydroxymethylglutaryl-CoA reductase, eukaryotic/archaeal type"
"0.789","c1_12257","chr02","32346903","CPTuber.H","Protein kinase domain"
"0.789","c2_7631","chr02","39367070","CPTuber.H","Thiamine pyrophosphate enzyme, C-terminal TPP binding domain"
"0.789","c2_49245","chr08","39144970","CPTuber.H","NAD dependent epimerase/dehydratase family"
"0.789","c2_27054","chr09","59478453","CPTuber.H","Exocyst complex component EXOC6/Sec15"
"0.789","c2_25653","chr03","47133164","CPTuber.H","Bacterial/plant glycogen synthase"
"0.789","c2_86","chr03","57084701","CPTuber.H","G protein beta WD-40 repeat signature"
"0.789","c2_34019","chr04","67168084","CPTuber.H","Cytokinin dehydrogenase 1, FAD/cytokinin binding domain"
"0.789","c2_5212","chr05","46454263","CPTuber.H","Xyloglucan endotransglucosylase/hydrolase"
"0.789","c1_15485","chr07","6050843","CPTuber.H",NA
"0.789","c2_4400","chr09","13267862","CPTuber.H",NA
"0.789","c1_13996","chr09","56029166","CPTuber.H","Linker histone H1/H5, domain H15"
"0.789","c2_51155","chr09","56319903","CPTuber.H","bHLH-MYC and R2R3-MYB transcription factors N-terminal"
"0.789","c2_3684","chr11","41456972","CPTuber.H","Alkaline and neutral invertase"
"0.789","c2_53818","chr02","23816965","CPTuber.H","Cytochrome b561/ferric reductase transmembrane"
"0.789","c1_3316","chr04","45124566","CPTuber.H",NA
"0.789","c2_50220","chr06","35104844","CPTuber.H","HEAT repeat profile."
"0.789","c1_15416","chr08","49178917","CPTuber.H","PRONE (Plant-specific Rop nucleotide exchanger)"
"0.789","c1_2331","chr12","4424313","CPTuber.H","Leucine-rich repeat domain superfamily"
"0.789","c2_18788","chr12","9547778","CPTuber.H","Malic oxidoreductase"
"0.789","c2_21336","chr12","45222523","CPTuber.H","Peptidase family M28"
"0.789","c2_29643","chr03","45706104","CPTuber.H","AMP-binding enzyme, C-terminal domain"
"0.789","c2_55885","chr03","52045188","CPTuber.H","P-type ATPase, subfamily IIIA"
"0.789","c2_39810","chr04","57588066","CPTuber.H","Deubiquitinating enzyme MINDY-3/4, conserved domain"
"0.789","c2_23841","chr05","792211","CPTuber.H","Reversibly glycosylated polypeptide"
"0.789","c2_25926","chr06","46293014","CPTuber.H","Tudor domain"
"0.789","c2_19898","chr07","49774183","CPTuber.H","Aldolase-type TIM barrel"
"0.789","c2_28475","chr08","59145507","CPTuber.H","Glycosyl transferase, family 1"
"0.789","c2_49184","chr10","9446874","CPTuber.H","Ribosomal protein S15"
"0.789","c1_7325","chr02","40459841","CPTuber.H","Porin domain superfamily"
"0.789","c2_48195","chr02","27737357","CPTuber.H","UDP-glucoronosyl and UDP-glucosyl transferase"
"0.789","c1_15926","chr03","35963193","CPTuber.H","UbiB domain"
"0.789","c2_48370","chr03","38808688","CPTuber.H","Glycosyl hydrolase, five-bladed beta-propellor domain superfamily"
"0.789","c1_9141","chr03","41579192","CPTuber.H","Methyl-CpG binding domain"
"0.789","c2_53258","chr03","54519660","CPTuber.H","SANT/Myb domain"
"0.789","c1_14108","chr08","43120281","CPTuber.H","SAM-dependent methyltransferase PRMT-type domain profile."
"0.789","c1_7803","chr10","4319134","CPTuber.H","DBP10CT (NUC160) domain"
"0.789","c2_5077","chr01","81184767","CPTuber.H","Thiamine phosphate synthase/TenI"
"0.789","c1_12691","chr06","38373978","CPTuber.H","Fatty acid hydroxylase superfamily"
"0.789","c2_46749","chr07","4568768","CPTuber.H","SRP40, C-terminal domain"
"0.789","c2_22050","chr09","61020159","CPTuber.H","Histone H2A"
"0.789","c2_24711","chr10","4106880","CPTuber.H","GDSL lipase/esterase-like, plant"
"0.789","c2_15336","chr11","43015359","CPTuber.H","B3 DNA binding domain"
"0.789","c2_44034","chr05","14561546","CPTuber.H","Signal transduction histidine kinase, dimerisation/phosphoacceptor domain"
"0.789","c2_31180","chr06","49344957","CPTuber.H","Hexokinase, C-terminal"
"0.789","c1_8164","chr07","2556923","CPTuber.H","Calmodulin binding protein-like"
"0.789","c2_18683","chr07","56191268","CPTuber.H","Possible lysine decarboxylase"
"0.789","c1_10384","chr08","55724124","CPTuber.H","Fatty acid hydroxylase superfamily"
"0.789","c1_3852","chr01","73212855","CPTuber.H","Beta-amylase (glycosyl hydrolase family 14) signature"
"0.789","c2_36264","chr03","425228","CPTuber.H","Armadillo/plakoglobin ARM repeat profile."
"0.789","c1_6349","chr03","47988352","CPTuber.H","CAAD domains of cyanobacterial aminoacyl-tRNA synthetase"
"0.789","c2_57888","chr06","39215173","CPTuber.H","Rhodanese-like domain superfamily"
"0.789","c2_25289","chr07","48473527","CPTuber.H","Secretory peroxidase"
"0.789","c2_12597","chr07","54072918","CPTuber.H","3-hydroxyacyl-CoA dehydrogenase"
"0.789","c2_48951","chr08","6152248","CPTuber.H","MalT-like TPR region"
"0.789","c1_12178","chr09","60291974","CPTuber.H","RRM_like_XS"
"0.789","c1_6937","chr09","60883822","CPTuber.H",NA
"0.789","c1_4949","chr11","42881816","CPTuber.H","Zinc finger, RING/FYVE/PHD-type"
"0.789","c1_5653","chr01","71790931","CPTuber.H","WD domain, G-beta repeat"
"0.789","c1_2653","chr02","39649116","CPTuber.H",NA
"0.789","c2_57864","chr03","46361649","CPTuber.H","WD domain, G-beta repeat"
"0.789","c2_56824","chr03","60649747","CPTuber.H",NA
"0.789","c1_11242","chr04","2875448","CPTuber.H",NA
"0.789","c1_4180","chr04","66123270","CPTuber.H","Protein kinase domain"
"0.789","c2_47087","chr05","13872569","CPTuber.H","Zinc finger, MYND-type"
"0.789","c2_41210","chr06","57059584","CPTuber.H","PPM-type phosphatase domain"
"0.789","c2_30254","chr08","35824666","CPTuber.H","Mitochondrial carrier domain superfamily"
"0.789","c2_41391","chr10","46845984","CPTuber.H","Translocon-associated protein (TRAP), alpha subunit"
"0.789","c1_11991","chr10","48022954","CPTuber.H","mRNA splicing factor SYF2"
"0.789","c1_7744","chr12","59123423","CPTuber.H","Early nodulin-like protein domain"
"0.789","c1_5400","chr03","3201309","CPTuber.H","Amino acid transporter, transmembrane domain"
"0.789","c1_4576","chr03","51846678","CPTuber.H","SPFH domain / Band 7 family"
"0.789","c2_46398","chr07","3992682","CPTuber.H","Serine-threonine/tyrosine-protein kinase, catalytic domain"
"0.789","c2_31336","chr12","55459027","CPTuber.H","Hexokinase, C-terminal"
"0.789","c2_14793","chr01","86536336","CPTuber.H","Inositol monophosphatase superfamily signature"
"0.789","c2_38068","chr03","38363179","CPTuber.H","Sugar phosphate transporter"
"0.789","c1_8036","chr03","46940998","CPTuber.H","Exonuclease Mut-7, DEDDy 3'-5' exonuclease domain"
"0.789","c2_48691","chr04","51120898","CPTuber.H","Aminotransferase class-III"
"0.789","c2_55780","chr04","63251074","CPTuber.H","Leucine-rich repeat domain superfamily"
"0.789","c1_10836","chr07","1430780","CPTuber.H","WD40 repeat"
"0.789","c1_5578","chr08","57105712","CPTuber.H","Glutathione peroxidase"
"0.789","c2_20501","chr01","68549897","CPTuber.H","Ribosomal protein S2"
"0.789","c2_53075","chr01","86188739","CPTuber.H","Protein kinase domain"
"0.789","c2_26403","chr03","55144123","CPTuber.H","Acyl-CoA desaturase"
"0.789","c2_41393","chr10","46832155","CPTuber.H","Triosephosphate isomerase"
"0.789","c2_48381","chr03","38752201","CPTuber.H","BAG domain"
"0.789","c2_18308","chr03","53860265","CPTuber.H",NA
"0.789","c2_34705","chr08","52840407","CPTuber.H","Zinc finger, RING/FYVE/PHD-type"
"0.789","c2_34634","chr08","55926170","CPTuber.H","Pyridoxal phosphate-dependent transferase domain 1"
"0.789","c2_16994","chr08","57260018","CPTuber.H","Myc-type, basic helix-loop-helix (bHLH) domain"
"0.789","c2_1536","chr12","53216373","CPTuber.H","Domain of unknown function (DUF4094)"
"0.789","c1_13068","chr05","48554778","CPTuber.H","Casein kinase II, regulatory subunit, N-terminal"
"0.789","c2_36599","chr06","31949788","CPTuber.H","Ribosome biogenesis protein Nop53/GLTSCR2"
"0.789","c1_9878","chr07","51991603","CPTuber.H","PP5, C-terminal metallophosphatase domain"
"0.789","c2_19020","chr08","55200891","CPTuber.H","Multicopper oxidase, type 1"
"0.789","c1_988","chr09","564510","CPTuber.H","Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha [accA]."
"0.789","c1_10295","chr10","54060635","CPTuber.H","Membrane attack complex component/perforin (MACPF) domain"
"0.789","c2_13653","chr01","66752649","CPTuber.H","Conserved oligomeric Golgi complex subunit 8, Metazoal and Viridiplantae"
"0.789","c1_12386","chr02","35397782","CPTuber.H","Zinc finger C2H2 type domain signature."
"0.789","c2_43064","chr06","38557895","CPTuber.H","Unconventional myosin tail, actin- and lipid-binding"
"0.789","c1_4347","chr11","1462231","CPTuber.H","Zinc finger C2H2 superfamily"
"0.789","c2_17428","chr02","19797686","CPTuber.H","Aldolase-type TIM barrel"
"0.789","c2_53566","chr04","51233183","CPTuber.H","Cytochrome P450 superfamily"
"0.789","c1_4140","chr04","66608357","CPTuber.H","Glycoside hydrolase family 17"
"0.789","c2_41189","chr06","57113533","CPTuber.H","Sgf11 (transcriptional regulation protein)"
"0.789","c2_46101","chr07","683354","CPTuber.H","Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A"
"0.789","c1_15451","chr08","8091997","CPTuber.H","Pyridoxal-phosphate dependent enzyme"
"0.789","c1_12162","chr08","39547459","CPTuber.H","Protein of unknown function (DUF778)"
"0.789","c2_39499","chr09","56549373","CPTuber.H","Protein kinase C terminal domain"
"0.789","c1_9386","chr01","88402724","CPTuber.H","Rossmann-like alpha/beta/alpha sandwich fold"
"0.789","c1_12373","chr02","35524545","CPTuber.H","DKCLD (NUC011) domain"
"0.789","c2_16722","chr04","47165252","CPTuber.H",NA
"0.789","c2_5006","chr05","45902202","CPTuber.H","Triose-phosphate Transporter family"
"0.789","c2_56491","chr08","39173827","CPTuber.H","Cytochrome b5-like heme/steroid binding domain superfamily"
"0.789","c2_44712","chr11","476288","CPTuber.H","Armadillo-type fold"
"0.789","c2_6990","chr01","80672622","CPTuber.H","Protein kinase domain"
"0.789","c2_53035","chr02","36571934","CPTuber.H","Isopropylmalate dehydrogenase-like domain"
"0.789","c1_7268","chr02","40858023","CPTuber.H","P-type ATPase, phosphorylation site"
"0.789","c1_5112","chr07","44703850","CPTuber.H","Pyrophosphate-dependent phosphofructokinase TP0108-type"
"0.789","c2_51329","chr08","42124026","CPTuber.H","Mammalian uncoordinated homology 13, domain 2"
"0.789","c2_13350","chr11","723155","CPTuber.H","Armadillo/beta-catenin-like repeat"
"0.789","c1_12166","chr08","44459370","CPTuber.H",NA
"0.789","c1_5951","chr03","54020126","CPTuber.H","Glycosyl hydrolase family 79, N-terminal domain"
"0.789","c2_38116","chr04","58914164","CPTuber.H","Protein kinase-like domain superfamily"
"0.789","c2_43735","chr04","61520009","CPTuber.H","Cytochrome c oxidase, subunit VIb"
"0.789","c1_8131","chr06","46308306","CPTuber.H","TFIID subunit TAF5, NTD2 domain"
"0.789","c2_34179","chr08","5097348","CPTuber.H","Ubiquitin-conjugating enzyme/RWD-like"
"0.789","c2_22165","chr11","42194077","CPTuber.H",NA
"0.789","c2_16302","chr12","46760335","CPTuber.H","Thioesterase superfamily"
"0.789","c2_9011","chr06","53033201","CPTuber.H","Alcohol dehydrogenase GroES-like domain"
"0.789","c2_9172","chr06","58479664","CPTuber.H","K Homology domain, type 1"
"0.789","c2_18573","chr07","55912298","CPTuber.H","Histidine biosynthesis, HisF"
"0.789","c2_28903","chr07","56932162","CPTuber.H","CRAL-TRIO lipid binding domain"
"0.789","c1_4744","chr01","66950728","CPTuber.H","Arabidopsis thaliana 130.7kDa hypothetical protein signature"
"0.789","c2_14903","chr01","87434723","CPTuber.H","Glycosyl hydrolase family 10 signature"
"0.789","c2_39155","chr02","27899220","CPTuber.H","DEAD/DEAH box helicase domain"
"0.789","c2_27452","chr08","2673851","CPTuber.H","FKBP-type peptidyl-prolyl cis-trans isomerase domain"
"0.789","c2_33386","chr08","43803670","CPTuber.H","Zinc finger, RING/FYVE/PHD-type"
"0.789","c2_19085","chr08","54954178","CPTuber.H","Transcription factor GRAS"
"0.789","c2_20714","chr09","62824809","CPTuber.H","Malate dehydrogenase, NAD-dependent, cytosolic"
"0.789","c2_6487","chr12","4727015","CPTuber.H","Protein kinase domain"
"0.789","c2_28007","chr12","55577533","CPTuber.H","Insulinase (Peptidase family M16)"
"0.789","c2_41108","chr02","17264244","CPTuber.H","AMP-binding enzyme, C-terminal domain"
"0.789","c2_21578","chr04","62172231","CPTuber.H","Phosphoglucose isomerase, SIS domain 1"
"0.789","c1_12409","chr06","37405849","CPTuber.H","Per1-like family"
"0.789","c2_32710","chr08","1929390","CPTuber.H","ABC transporter type 1, transmembrane domain"
"0.789","c2_54116","chr10","3564802","CPTuber.H","UBA-like domain (DUF1421)"
"0.789","c2_7565","chr02","39094039","CPTuber.H","Elongator complex protein 5"
"0.789","c1_8368","chr04","26425426","CPTuber.H","Myb-like domain profile."
"0.789","c2_10548","chr04","68936042","CPTuber.H","Pyrophosphate--fructose 6-phosphate 1-phosphotransferase [pfp]."
"0.789","c1_8297","chr08","56271218","CPTuber.H","Homeobox domain"
"0.789","c1_1000","chr09","526861","CPTuber.H",NA
"0.789","c2_27765","chr09","67528051","CPTuber.H","Glycosyl transferase, family 1"
"0.789","c1_5150","chr01","68028736","CPTuber.H","Protein LIN37"
"0.789","c2_17737","chr03","52338946","CPTuber.H","FMN-binding split barrel"
"0.789","c2_54533","chr04","50104980","CPTuber.H","Myo-inositol-1-phosphate synthase"
"0.789","c2_5137","chr05","46862129","CPTuber.H","Invertase/pectin methylesterase inhibitor domain superfamily"
"0.789","c1_8659","chr06","56414140","CPTuber.H","Winged helix-like DNA-binding domain superfamily"
"0.789","c2_26167","chr07","2574464","CPTuber.H","Xyloglucan endotransglucosylase/hydrolase"
"0.789","c1_6936","chr09","60515707","CPTuber.H","Biopterin transporter family"
"0.789","c2_46779","chr09","61489452","CPTuber.H","C2 domain"
"0.789","c2_39834","chr01","70588072","CPTuber.H","Proteasome component (PCI) domain"
"0.789","c1_11288","chr01","87655137","CPTuber.H","Protein kinase domain"
"0.789","c2_37339","chr06","55567431","CPTuber.H","Protein of unknown function (DUF707)"
"0.789","c1_6967","chr11","42273649","CPTuber.H","Homeobox domain"
"0.789","c2_48734","chr02","5562074","CPTuber.H","SNF2-related, N-terminal domain"
"0.789","c2_30730","chr03","36242385","CPTuber.H","Alcohol dehydrogenase GroES-like domain"
"0.789","c2_12782","chr09","52735443","CPTuber.H","NAD(P)-binding domain"
"0.789","c2_46777","chr09","61497597","CPTuber.H","Pyruvate kinase family signature"
"0.789","c2_42733","chr10","4857510","CPTuber.H","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"0.789","c2_12947","chr04","66243584","CPTuber.H","Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A"
"0.789","c2_47002","chr06","6408266","CPTuber.H","Pentatricopeptide repeat"
"0.789","c2_1108","chr10","2252418","CPTuber.H","Protein of unknown function (DUF640)"
"0.786","c2_51806","chr01","4596586","CPTuber.H","EF-hand domain"
"0.785","c2_51544","chr11","39068543","CPTuber.H","Fungal lipase-like domain"
"0.785","c2_26792","chr04","10803976","CPTuber.H","Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A"
"0.785","c2_18664","chr07","56126630","CPTuber.H","Leucine-rich repeat domain superfamily"
"0.785","c2_40266","chr06","41068789","CPTuber.H","5'/3'-nucleotidase SurE [surE]."
"0.785","c2_38229","chr05","6892717","CPTuber.H",NA
"0.785","c1_5346","chr01","76670716","CPTuber.H","Protein kinase domain"
"0.785","c2_43886","chr11","45739607","CPTuber.H","NAD dependent epimerase/dehydratase family"
"0.785","c1_15641","chr12","58834199","CPTuber.H","No apical meristem (NAM) protein"
"0.785","c2_39804","chr04","57609141","CPTuber.H","Fructose-1,6-bisphosphatase class 1"
"0.785","c1_13135","chr06","51655456","CPTuber.H","Plant protein of unknown function (DUF863)"
"0.785","c1_10202","chr04","67340280","CPTuber.H","Coatomer alpha subunit"
"0.785","c2_16863","chr06","47815741","CPTuber.H","Alpha/beta hydrolase fold-1"
"0.785","c2_1542","chr12","53188451","CPTuber.H","Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3"
"0.785","c2_11101","chr04","42018409","CPTuber.H","Chorismate synthase"
"0.785","c2_8867","chr06","52077805","CPTuber.H","Proton-dependent oligopeptide transporter family"
"0.785","c2_22744","chr10","58603592","CPTuber.H","Cyclin-like"
"0.785","c1_2978","chr06","52358132","CPTuber.H","Serine-threonine/tyrosine-protein kinase, catalytic domain"
"0.785","c2_55849","chr04","56987958","CPTuber.H","F-box domain"
"0.785","c1_8944","chr09","61804778","CPTuber.H","rRNA-processing protein Efg1"
"0.785","c1_2065","chr06","50508870","CPTuber.H","Phosphate transport system permease protein 1"
"0.785","c2_49377","chr08","51358026","CPTuber.H","Phosphoribulokinase family signature"
"0.785","c1_8118","chr02","37800178","CPTuber.H",NA
"0.785","c2_16039","chr01","68075250","CPTuber.H","Zinc finger, RING/FYVE/PHD-type"
"0.785","c2_40610","chr02","36537981","CPTuber.H","Phosphoserine aminotransferase"
"0.785","c1_16127","chr06","56585602","CPTuber.H","Fatty acid hydroxylase superfamily"
"0.785","c2_32310","chr08","41934796","CPTuber.H","Leucine-rich repeat domain superfamily"
"0.785","c2_49052","chr06","42439999","CPTuber.H","SET domain"
"0.785","c2_4445","chr07","41154940","CPTuber.H","Cucumisin-like catalytic domain"
"0.785","c1_15371","chr06","48694458","CPTuber.H",NA
"0.785","c2_41412","chr06","51315476","CPTuber.H","Dof domain, zinc finger"
"0.785","c1_10011","chr07","46636589","CPTuber.H","Glycoside hydrolase family 17"
"0.785","c1_13116","chr08","51625079","CPTuber.H","RCD1-SRO-TAF4 (RST) plant domain"
"0.785","c1_2458","chr01","80716306","CPTuber.H","Smg-4/UPF3 family"
"0.785","c2_24739","chr10","4263051","CPTuber.H","snRNA-activating protein of 50kDa MW C terminal"
"0.785","c2_38364","chr05","41272112","CPTuber.H","B-box-type zinc finger"
"0.785","c2_3109","chr06","4219605","CPTuber.H","Protein of unknown function (DUF674)"
"0.785","c2_14064","chr03","51398853","CPTuber.H",NA
"0.785","c1_5587","chr08","57603754","CPTuber.H","Protein kinase domain"
"0.785","c2_52467","chr03","4623545","CPTuber.H","Protein of unknown function (DUF2854)"
"0.785","c2_8832","chr06","52066463","CPTuber.H","Glucose/ribitol dehydrogenase family signature"
"0.785","c1_14569","chr04","43525521","CPTuber.H","Uncharacterised ACR, YagE family COG1723"
"0.785","c1_8282","chr08","56468436","CPTuber.H","MBOAT, membrane-bound O-acyltransferase family"
"0.785","c1_13229","chr08","7343382","CPTuber.H","GRAM domain"
"0.785","c2_10896","chr09","2373050","CPTuber.H","Ribosomal protein L7/L12"
"0.785","c1_2112","chr06","51243747","CPTuber.H","Protein kinase domain"
"0.785","c1_2280","chr11","4601690","CPTuber.H","Immunoglobulin-like fold"
"0.785","c2_35078","chr07","50872860","CPTuber.H","Small GTPase"
"0.785","c1_4237","chr09","6327002","CPTuber.H","Topoisomerase 6 subunit A/Spo11, TOPRIM domain"
"0.785","c2_23355","chr07","43833778","CPTuber.H","B3 DNA binding domain"
"0.785","c2_41693","chr10","60270165","CPTuber.H","Zinc finger, RING/FYVE/PHD-type"
"0.785","c2_27994","chr12","55612096","CPTuber.H","Zinc finger C-x8-C-x5-C-x3-H type (and similar)"
"0.785","c2_12622","chr07","54144311","CPTuber.H","Glycosyl transferase, family 14"
"0.785","c2_22024","chr09","60793905","CPTuber.H","Protein Networked (NET), actin-binding (NAB) domain"
"0.785","c2_10443","chr04","43282691","CPTuber.H","MIF4G-like, type 3"
"0.785","c2_26041","chr07","51331391","CPTuber.H","Cysteine oxygenase/2-aminoethanethiol dioxygenase"
"0.785","c1_8581","chr12","35789839","CPTuber.H","CBS domain"
"0.785","c2_17592","chr01","71013700","CPTuber.H","Alpha/Beta hydrolase fold"
"0.785","c1_6411","chr03","47657314","CPTuber.H",NA
"0.785","c2_5858","chr06","51049375","CPTuber.H",NA
"0.785","c1_2953","chr06","52155919","CPTuber.H","Galectin, carbohydrate recognition domain"
"0.785","c2_50259","chr06","56822435","CPTuber.H","Glycoside hydrolase, family 3, N-terminal"
"0.785","c2_6608","chr07","10077159","CPTuber.H","F-box domain"
"0.785","c2_23449","chr09","11581750","CPTuber.H","WRKY DNA -binding domain"
"0.785","c1_11920","chr08","49546685","CPTuber.H","Nucleotide-diphospho-sugar transferase"
"0.785","c1_3525","chr04","68511009","CPTuber.H","Immunoglobulin-like fold"
"0.785","c2_41405","chr06","51332581","CPTuber.H","Mitochondrial carrier domain superfamily"
"0.785","c2_56145","chr06","51554184","CPTuber.H","SANT/Myb domain"
"0.785","c2_2842","chr08","29481450","CPTuber.H","Homeobox domain"
"0.785","c2_41084","chr11","35566895","CPTuber.H","Myc-type, basic helix-loop-helix (bHLH) domain"
"0.784","c1_14197","chr12","11075598","CPTuber.H","Leucine-rich repeat domain superfamily"
"0.782","c1_1737","chr01","83995078","CPTuber.H","Aldolase-type TIM barrel"
"0.782","c2_54083","chr04","12263876","CPTuber.H","H+-transporting ATPase (proton pump) signature"
"0.782","c2_44777","chr02","31015780","CPTuber.H","Thiamine pyrophosphate (TPP)-dependent enzyme"
"0.782","c2_32894","chr06","29687566","CPTuber.H","Clathrin, heavy chain"
"0.779","c2_4896","chr01","83129050","CPTuber.H",NA
"0.779","c2_22853","chr02","40430532","CPTuber.H","Zinc finger, RING/FYVE/PHD-type"
"0.779","c1_8353","chr04","10469296","CPTuber.H","Heavy metal-associated domain, HMA"
"0.779","c2_20521","chr01","68628696","CPTuber.H","Protein of unknown function (DUF1005)"
"0.779","c1_15225","chr10","53088494","CPTuber.H","60S ribosomal protein L4, C-terminal domain"
"0.779","c2_8522","chr05","53792903","CPTuber.H","Malectin-like domain"
"0.779","c2_27795","chr10","51402019","CPTuber.H",NA
"0.779","c1_7346","chr02","40296554","CPTuber.H","ACT domain"
"0.779","c2_4227","chr11","32590037","CPTuber.H","Armadillo-type fold"
"0.76","c2_57917","chr11","6586396","CPTuber.H","SANT/Myb domain"
"0.76","c2_2466","chr01","77883824","CPTuber.H","C2 domain"
"0.76","c2_10411","chr05","50966885","CPTuber.H","Ferritin/DPS protein domain"
"0.76","c1_3992","chr11","9876122","CPTuber.H","MFS general substrate transporter"
"0.76","c2_44298","chr08","48052944","CPTuber.H","Polyphenol oxidase"
"0.76","c1_13962","chr02","32178674","CPTuber.H","Zinc finger, RING/FYVE/PHD-type"
"0.76","c2_36460","chr06","1885282","CPTuber.H","NECAP, PHear domain"
"0.76","c2_21041","chr11","6321343","CPTuber.H",NA
"0.76","c2_3091","chr06","4422364","CPTuber.H","Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase"
"0.76","c1_1874","chr05","46784977","CPTuber.H","Cytochrome P450 superfamily"
"0.76","c2_37185","chr11","2534311","CPTuber.H","Leucine-rich repeat domain superfamily"
"0.76","c2_15268","chr11","43731687","CPTuber.H","ATP-dependent zinc metalloprotease FtsH [ftsH]."
"0.76","c2_53347","chr01","61660423","CPTuber.H","Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A"
"0.76","c2_27929","chr12","55932976","CPTuber.H","FAD/NAD(P)-binding domain superfamily"
"0.76","c2_13650","chr01","66760042","CPTuber.H","NAD dependent epimerase/dehydratase family"
"0.76","c2_26938","chr08","6656143","CPTuber.H",NA
"0.76","c2_4048","chr09","3552496","CPTuber.H","Immunoglobulin-like fold"
"0.76","c1_9167","chr08","35834101","CPTuber.H","Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A"
"0.76","c2_50137","chr12","23622266","CPTuber.H","HAD-superfamily hydrolase, subfamily IIA"
"0.76","c1_10269","chr11","46435839","CPTuber.H","Nudix hydrolase domain profile."
"0.76","c2_36034","chr04","56664542","CPTuber.H","Mitochondrial carrier domain superfamily"
"0.76","c2_42266","chr12","39864817","CPTuber.H","Kinesin motor domain superfamily"
"0.76","c2_40112","chr01","53438382","CPTuber.H","PAS domain"
"0.76","c2_54365","chr05","52039152","CPTuber.H","Polyketide synthase, type III"
"0.76","c1_3612","chr09","1426259","CPTuber.H","Nucleotide exchange factor Fes1"
"0.76","c2_32854","chr05","10484219","CPTuber.H","NPH3 domain"
"0.76","c2_2421","chr01","77662566","CPTuber.H","Plant lipoxygenase, PLAT/LH2 domain"
"0.76","c2_14365","chr01","75614837","CPTuber.H","Nuclear fragile X mental retardation-interacting protein 1, conserved domain"
"0.76","c2_7094","chr01","79793165","CPTuber.H","Organic solute transporter subunit alpha/Transmembrane protein 184"
"0.76","c2_30961","chr01","88323097","CPTuber.H","Sugar transporter signature"
"0.76","c2_40637","chr02","36951132","CPTuber.H","Secretory peroxidase"
"0.76","c1_7342","chr02","40343854","CPTuber.H","AdipoR/Haemolysin-III-related"
"0.76","c2_16168","chr12","57697376","CPTuber.H","Endomembrane protein 70"
"0.76","c1_11955","chr02","36716163","CPTuber.H","Vacuolar protein sorting-associated protein Ist1"
"0.76","c2_49116","chr05","50772489","CPTuber.H","Secretory peroxidase"
"0.76","c2_53914","chr08","49866622","CPTuber.H","Winged helix-like DNA-binding domain superfamily"
"0.76","c1_10932","chr06","5934509","CPTuber.H","ADF_cofilin_like"
"0.76","c2_12167","chr01","72911683","CPTuber.H","Malic oxidoreductase"
"0.76","c2_13193","chr09","6221955","CPTuber.H","Leucine-rich repeat domain superfamily"
"0.76","c2_13951","chr12","16100497","CPTuber.H",NA
"0.76","c2_50231","chr05","40052212","CPTuber.H","WD domain, G-beta repeat"
"0.76","c2_8582","chr05","53878491","CPTuber.H","Ankyrin repeat domain-containing protein 13"
"0.76","c2_1263","chr10","2606308","CPTuber.H","MEI2-like, RNA recognition motif 1"
"0.76","c2_17631","chr03","51929845","CPTuber.H","Major facilitator superfamily"
"0.76","c2_28697","chr10","59979246","CPTuber.H","Thioredoxin-like superfamily"
"0.76","c2_20798","chr01","62583440","CPTuber.H","PPM-type phosphatase domain"
"0.76","c2_50179","chr06","7712851","CPTuber.H",NA
"0.76","c1_973","chr09","645541","CPTuber.H","Protein tyrosine phosphatase superfamily"
"0.76","c2_8210","chr05","54116191","CPTuber.H","Peptide Chain Release Factor eRF1/aRF1, N-terminal"
"0.76","c2_45475","chr11","10777952","CPTuber.H","Amino acid transporter, transmembrane domain"
"0.76","c2_9035","chr06","57427971","CPTuber.H","AP2/ERF domain"
"0.76","c2_14155","chr03","51646481","CPTuber.H","Invertase/pectin methylesterase inhibitor domain superfamily"
"0.76","c2_42169","chr02","35424428","CPTuber.H","Enhancer of polycomb-like, N-terminal"
"0.76","c1_8594","chr06","35904941","CPTuber.H",NA
"0.76","c2_28656","chr10","60149963","CPTuber.H","NB-ARC domain"
"0.76","c2_33108","chr02","32863057","CPTuber.H","Diacylglycerol kinase, catalytic domain"
"0.76","c2_35218","chr01","52022133","CPTuber.H","Secretory peroxidase"
"0.76","c2_11695","chr05","2317290","CPTuber.H","Vacuolar protein sorting-associated protein Ist1"
"0.76","c1_8237","chr08","56799866","CPTuber.H","Thioredoxin-like superfamily"
"0.76","c2_14709","chr01","86586433","CPTuber.H","Homeobox domain"
