Samples,Tallo.LCH.L,Tallo.LCH.C,Tallo.LCH.H,PriFlor.LCH.L,PriFlor.LCH.C,PriFlor.LCH.H,Baya.LCH.L,Baya.LCH.C,Baya.LCH.H,PriTuber.LCH.L,PriTuber.LCH.C,PriTuber.LCH.H,SecTuber.LCH.L,SecTuber.LCH.C,SecTuber.LCH.H,Pulpa.LCH.L,Pulpa.LCH.C,Pulpa.LCH.H,PriBrote.LCH.L,PriBrote.LCH.C,PriBrote.LCH.H,SecBrote.LCH.L,SecBrote.LCH.C,SecBrote.LCH.H
15061658,53,38,132,59,48,315,54,44,117,42,36,346,81,32,84,92,6,71,33,26,314,96,7,318
15061659,49,21,132,43,58,322,54,44,117,42,36,346,80,41,86,92,6,71,42,39,319,96,7,318
15061665,54,44,117,43,58,322,54,44,117,74,37,74,43,39,17,84,18,90,57,46,323,96,7,318
15061666,28,16,359,36,55,329,66,48,118,79,36,83,28,11,318,92,6,71,33,34,316,94,4,41
15061667,28,16,359,58,45,310,62,43,124,39,28,22,84,41,84,84,18,90,26,20,307,94,4,41
15061668,54,44,117,49,57,317,69,59,106,75,35,83,38,32,14,84,18,90,39,57,339,96,7,318
15061669,54,44,117,52,55,328,58,32,112,76,47,85,42,37,18,92,6,71,48,58,336,96,7,318
15061670,54,44,117,36,55,329,53,38,132,38,32,14,82,32,85,92,6,71,36,55,329,94,4,41
15061671,54,44,117,52,55,328,54,44,117,34,28,21,81,30,83,84,26,94,39,57,339,96,7,318
15061673,28,16,359,54,49,320,50,28,115,37,42,3,75,24,74,92,6,71,45,57,327,96,7,318
15061677,54,44,117,52,55,328,54,44,117,30,11,328,79,36,83,92,6,71,33,26,314,96,7,318
15061678,49,21,132,36,55,329,69,59,106,30,11,328,75,35,83,84,18,90,33,26,314,95,7,318
15061679,28,16,359,36,55,329,76,75,107,35,29,17,75,42,83,84,18,90,26,20,307,94,7,318
15061680,49,21,132,36,55,329,66,48,118,34,28,21,84,26,94,92,6,71,36,55,329,95,5,344
15061682,49,21,132,59,40,305,71,50,115,75,35,83,41,37,12,84,18,90,26,20,307,94,4,41
15061683,28,16,359,43,58,322,68,61,115,40,35,16,75,29,96,92,6,71,33,26,314,96,7,318
15061684,54,44,117,67,41,314,50,28,115,39,28,22,60,32,41,92,6,71,27,28,306,96,7,318
15061686,49,21,132,36,55,329,69,59,106,30,16,3,75,35,83,84,18,90,26,20,307,94,4,41
15061687,54,44,117,43,58,322,54,44,117,29,8,313,50,29,17,92,6,71,38,40,308,96,7,318
15061688,54,44,117,43,58,322,54,44,117,27,19,5,75,35,83,84,18,90,28,35,303,95,7,318
15061690,54,44,117,36,55,329,54,44,117,29,8,313,79,36,83,84,18,90,33,26,314,94,4,41
15061702,49,21,117,49,45,316,50,28,115,45,42,0,79,36,83,84,18,90,27,28,306,96,7,318
15061706,54,44,117,92,6,71,54,44,117,84,26,94,34,31,96,84,18,90,49,57,317,96,7,318
15061707,28,16,359,38,40,308,54,44,117,51,43,355,48,28,84,84,18,90,33,26,314,96,7,318
15061709,54,44,117,36,55,329,69,59,106,76,47,85,42,37,18,92,6,71,36,47,352,95,5,344
15061712,54,44,117,43,58,322,54,44,117,28,11,318,80,42,96,84,18,90,33,26,314,94,4,41
15061714,28,16,359,41,42,316,54,44,117,92,6,88,30,42,86,92,6,71,39,53,346,96,7,318
15061717,28,16,359,52,45,305,54,44,117,28,16,359,53,24,40,84,18,90,27,28,306,94,4,41
15061719,54,44,117,92,6,71,72,45,115,43,33,10,80,28,67,84,26,94,27,28,306,96,7,318
15061720,42,17,138,41,42,316,58,45,128,38,32,14,74,42,17,84,18,90,44,53,341,96,7,318
15061722,54,44,117,48,40,314,69,59,106,27,19,5,81,32,84,92,6,71,45,57,327,94,4,41
15061723,28,16,359,43,58,322,66,48,118,40,35,16,79,36,83,84,18,90,44,53,341,96,7,318
15061724,28,16,359,43,58,322,69,59,106,84,22,70,50,26,342,84,18,90,49,42,312,96,7,318
15061725,28,16,359,43,58,322,54,44,117,34,34,8,80,42,86,92,6,71,39,57,339,96,7,318
15061726,28,16,359,43,58,322,54,44,117,34,34,8,80,47,85,84,26,94,44,54,353,94,4,41
15061729,28,16,359,52,45,305,54,44,117,30,29,7,79,36,83,84,18,90,49,57,317,96,7,318
15061733,54,44,117,57,46,323,50,28,115,74,37,74,27,19,5,84,26,94,58,45,310,96,7,318
15061734,28,16,359,36,55,329,54,44,117,34,34,8,75,42,96,92,6,71,39,57,339,96,7,318
15061735,54,44,117,54,49,320,71,50,115,79,36,83,41,37,12,94,5,52,39,57,339,94,4,41
15061736,28,16,359,57,46,323,62,43,124,80,42,96,27,19,5,84,26,94,27,28,306,94,4,41
15061737,28,16,359,43,58,322,54,44,117,81,32,84,27,19,5,84,18,90,59,48,315,96,7,318
15061738,28,16,359,43,58,322,54,44,117,30,11,328,75,35,83,84,18,90,39,53,346,94,4,41
15061740,28,16,359,38,40,308,58,45,128,28,11,318,80,35,22,92,6,71,26,20,307,94,4,41
15061744,54,44,117,43,40,309,69,59,106,66,40,69,40,35,16,92,6,71,49,42,312,96,7,318
15061747,54,44,117,92,6,71,54,44,117,43,33,10,82,26,80,84,26,94,33,26,314,96,5,41
15061751,62,43,124,58,45,310,49,19,120,43,33,10,74,37,74,92,6,71,49,42,312,94,4,41
15061752,45,19,134,45,57,327,66,48,118,27,22,344,82,28,83,84,26,94,26,20,307,96,7,318
15061753,54,44,117,54,49,320,66,48,118,51,43,355,81,32,84,92,6,71,35,41,347,96,7,318
15061754,54,44,117,58,45,310,69,59,106,76,47,85,43,32,10,84,18,90,56,48,332,94,4,41
15061755,54,44,117,63,31,315,50,28,115,30,16,3,82,42,83,84,26,94,33,26,314,96,7,318
15061756,49,21,132,58,45,310,54,44,117,30,16,3,80,39,96,84,26,94,38,40,308,96,7,318
15061757,28,16,359,49,57,317,58,45,128,30,29,7,29,8,313,84,26,94,26,20,307,96,4,344
15061758,54,44,117,33,34,316,69,59,106,27,19,5,76,41,41,84,26,94,38,40,308,96,7,318
15061760,28,16,359,61,43,319,66,48,118,43,33,10,80,28,67,84,26,94,54,39,308,96,7,318
15061761,54,44,117,92,6,71,54,44,117,45,32,39,78,20,35,84,26,94,26,20,307,96,7,318
15061762,28,16,359,26,52,310,50,28,115,30,16,3,79,36,83,84,18,90,26,20,307,96,7,318
15061764,54,44,117,31,33,324,66,48,118,75,35,83,30,16,3,84,26,94,26,20,307,96,7,318
15061766,54,44,117,33,58,312,66,48,118,76,47,85,40,35,16,84,18,90,26,20,307,96,7,318
15061769,54,44,117,63,40,326,54,44,117,34,34,8,80,47,86,92,6,71,39,57,339,96,7,318
15061771,28,16,359,43,58,322,69,59,106,28,11,318,79,36,83,84,18,90,38,40,308,94,4,41
15061772,54,44,117,59,40,305,54,44,132,29,8,313,75,35,83,84,18,90,26,20,307,96,7,318
15061773,28,16,359,67,41,314,54,44,117,30,29,7,50,32,93,84,18,90,26,20,307,96,7,318
15061776,54,44,117,52,45,305,54,44,117,76,47,85,50,29,17,92,6,71,33,26,314,96,7,318
15061777,28,16,359,43,58,322,69,59,106,27,19,5,79,36,83,84,26,94,26,20,307,96,7,318
15061784,28,16,359,36,55,329,54,44,117,29,8,313,79,36,83,84,18,90,26,20,307,96,7,318
15061785,54,44,117,66,36,309,53,38,132,75,35,83,50,29,17,92,6,71,43,58,322,96,7,318
15061788,54,44,117,43,40,309,54,44,117,28,16,359,30,28,345,92,6,71,26,20,307,95,7,318
15061789,54,44,117,63,40,326,76,39,115,80,41,86,54,32,41,92,6,71,52,55,328,94,4,41
15061790,54,44,117,57,46,323,66,48,118,75,35,83,35,29,17,92,6,71,36,55,329,94,4,41
15061795,28,16,359,43,58,322,50,28,115,30,11,328,48,36,96,82,35,93,33,26,314,96,7,318
15061797,28,16,359,54,49,320,54,44,117,75,35,83,30,16,3,84,18,90,94,4,41,43,58,322
15061798,54,44,117,52,45,305,53,38,132,34,28,21,45,36,22,92,6,71,65,35,303,96,7,318
15061799,28,16,359,45,57,327,50,28,115,34,34,8,29,8,313,84,18,90,26,20,307,95,7,318
15061800,54,44,117,49,42,312,54,44,117,80,42,96,27,22,344,92,6,71,33,26,314,94,4,41
15061811,54,44,117,43,58,312,71,50,115,28,16,359,81,32,84,84,18,90,33,26,314,94,4,41
15061813,54,44,117,43,58,322,69,59,106,80,42,96,43,39,17,84,18,90,59,48,315,94,4,41
15061814,28,16,359,43,58,322,54,44,117,30,29,7,80,42,96,92,6,71,49,57,317,94,4,41
15061815,54,44,117,58,45,310,66,48,118,34,28,21,82,26,80,84,18,90,43,58,312,96,7,318
15061826,54,44,117,61,43,319,54,44,117,35,29,17,76,47,85,92,3,32,36,47,352,94,4,41
15061905,58,45,128,41,42,316,44,26,117,39,28,22,80,42,96,84,18,90,48,58,336,95,7,318
15061906,28,16,359,52,45,305,54,44,117,29,8,313,73,32,96,92,6,71,26,20,307,96,7,318
15061907,66,48,118,89,8,95,44,26,116,80,42,96,50,8,344,84,26,94,94,4,41,48,58,336
15061908,28,16,359,44,53,341,50,28,115,35,29,17,28,11,318,84,24,85,45,57,327,95,5,344
15061909,54,44,117,36,55,329,71,50,115,28,11,318,80,41,85,84,18,90,26,20,307,95,5,344
15061910,54,44,117,36,39,321,54,44,117,50,26,342,42,33,355,92,6,71,26,20,307,95,7,318
15061911,54,44,117,54,49,320,54,44,117,44,41,21,82,35,93,84,18,90,33,26,304,95,7,318
15061915,54,44,117,54,49,320,54,44,117,76,47,85,50,29,17,84,18,90,61,52,343,95,7,318
15061917,54,44,117,43,58,322,69,59,106,35,29,17,80,42,96,84,18,90,42,53,346,96,7,318
15061918,54,44,117,45,57,327,54,44,117,50,26,342,82,30,83,92,6,71,31,33,324,94,4,41
15061926,54,44,117,36,55,329,69,59,106,28,16,359,80,41,86,92,3,32,33,34,316,94,4,41
15061927,28,16,359,63,31,315,69,59,106,29,8,313,80,42,96,92,6,71,47,44,304,94,4,41
15061929,54,44,117,42,39,319,54,44,117,75,35,83,42,36,346,92,6,71,26,20,307,95,7,318
15061930,28,16,359,45,57,327,58,45,117,50,26,342,79,36,83,92,3,32,31,33,324,95,7,318
15061933,54,44,117,49,42,312,44,26,116,28,16,359,75,35,83,84,26,94,26,20,307,94,4,41
15061934,28,16,359,43,58,322,53,38,132,80,41,86,28,16,359,84,26,94,26,20,307,94,4,41
15061937,54,44,117,36,39,321,71,50,115,28,16,359,80,42,96,92,3,32,26,20,307,94,4,41
15061939,54,44,117,43,58,322,66,48,118,80,42,96,81,35,84,84,26,94,94,4,41,31,33,324
15061941,54,44,117,54,49,320,71,50,115,75,35,83,43,33,10,84,18,90,52,55,328,94,4,41
15061944,54,44,117,49,57,317,69,59,106,80,42,96,43,39,17,92,6,71,49,57,317,96,7,318
15061945,54,44,117,43,58,322,66,48,118,75,35,83,42,32,25,84,18,90,48,58,336,96,7,318
15061948,54,44,117,61,43,319,54,44,117,57,56,45,75,35,83,84,18,90,57,46,323,96,7,318
15061949,54,44,117,41,42,316,54,44,117,29,8,313,76,47,85,92,6,71,26,20,307,94,4,41
15061951,54,44,117,61,43,319,69,59,106,42,37,18,80,41,86,84,18,90,48,58,336,94,4,41
15061952,28,16,359,36,39,321,66,48,118,34,28,21,80,41,86,84,18,90,33,26,314,94,4,41
15061953,54,44,117,43,58,322,69,59,106,28,16,359,80,41,86,92,6,71,26,20,307,94,4,41
15061954,54,44,117,54,49,320,53,38,132,40,35,16,80,41,86,84,18,90,39,57,339,94,4,41
15061957,54,44,117,67,41,314,50,28,115,38,32,14,80,35,83,92,6,71,43,58,322,96,7,318
15061958,54,44,117,67,36,319,77,39,117,76,47,85,43,39,17,84,18,90,48,58,336,94,4,41
15061960,54,44,117,52,45,305,54,44,117,29,8,313,75,32,83,84,18,90,26,20,307,94,4,41
15061961,42,17,138,42,39,319,69,59,106,27,19,5,80,41,86,92,6,71,26,20,307,96,7,318
15061964,54,44,117,92,6,71,54,44,117,50,29,17,80,41,86,84,18,90,26,20,307,94,4,41
15061965,54,44,117,92,6,71,66,48,118,42,36,346,60,32,41,84,18,90,26,20,307,94,4,41
15061966,28,16,359,43,58,312,54,44,117,29,8,313,80,41,86,84,18,90,26,20,307,96,7,318
15061967,28,16,359,53,43,320,54,44,117,27,19,5,80,41,86,92,6,71,26,20,307,96,7,318
15061968,54,44,117,48,40,314,44,26,116,27,19,5,80,41,86,84,18,90,27,28,306,96,7,318
15061969,54,44,117,70,31,304,44,26,116,80,41,86,50,29,17,92,6,71,33,26,314,94,4,41
15062036,54,44,117,52,55,328,53,38,132,50,26,342,80,42,96,92,6,71,48,57,301,94,5,52
15062038,54,44,117,43,58,322,58,45,128,39,28,22,80,41,86,84,26,94,44,53,341,95,5,344
15062039,54,44,117,37,43,331,53,38,132,82,30,83,50,26,342,84,26,94,31,33,324,95,7,318
15062050,54,44,117,52,55,328,53,38,132,75,35,83,48,39,21,84,18,90,48,58,339,96,7,318
15062051,54,44,117,36,55,329,54,44,117,40,35,16,80,41,86,84,26,94,62,50,338,96,7,318
15062052,54,44,117,36,55,329,69,59,106,43,39,17,80,41,86,84,26,94,30,28,345,95,7,318
15062053,54,44,117,45,57,327,53,38,132,40,35,16,80,41,86,92,6,71,52,45,330,95,7,318
15062063,54,44,117,36,39,321,66,48,118,27,19,5,29,8,313,84,18,90,26,20,307,94,4,41
15062067,54,44,117,45,57,327,69,59,106,80,42,96,42,37,18,92,6,71,39,53,346,94,4,41
15062069,28,16,359,31,33,324,54,44,117,28,11,318,27,19,5,84,26,94,26,20,307,96,7,318
15062071,54,44,117,88,10,96,53,38,132,60,32,41,50,26,342,84,18,90,26,20,307,95,7,318
15062080,54,44,117,43,58,322,54,44,117,76,47,85,42,36,346,84,18,90,57,46,323,96,7,318
15062081,54,24,118,54,39,308,71,50,115,27,19,5,76,37,93,84,18,90,26,20,307,95,7,344
15062092,54,44,117,48,40,314,53,38,132,35,29,17,28,11,318,92,6,71,27,28,306,94,4,41
15062094,54,44,117,41,58,318,69,59,106,29,8,313,80,41,86,92,3,32,33,26,314,96,7,318
15062097,54,44,117,43,58,322,54,44,117,40,28,27,80,41,86,84,18,90,26,20,307,96,7,318
15062100,54,44,117,59,48,315,54,44,117,80,42,96,48,39,21,92,6,71,52,55,328,94,4,41
15062101,28,16,359,43,40,309,66,48,118,41,37,12,75,29,346,84,18,90,26,20,307,94,7,318
15062102,54,44,117,92,6,71,58,45,128,79,36,83,60,32,41,92,6,71,54,49,320,94,4,41
15062103,54,44,117,36,55,329,53,38,132,76,47,85,27,22,344,84,26,94,41,42,316,94,4,41
15062105,28,16,359,42,39,319,54,44,117,30,16,3,80,42,96,92,3,32,26,20,307,94,4,41
15062106,28,16,359,36,55,329,54,44,117,30,11,328,82,41,86,84,18,90,26,20,307,35,41,347
15062107,54,44,117,42,39,319,53,38,132,50,26,342,79,36,83,92,3,32,33,26,314,94,4,41
15062108,28,16,359,53,43,320,54,44,117,29,8,313,80,41,86,92,6,71,33,26,314,94,4,41
15062109,54,44,117,43,58,322,71,50,115,39,28,22,76,47,85,84,18,90,56,48,332,94,4,41
15062112,28,16,359,43,58,322,69,59,106,45,42,0,80,41,86,92,3,32,26,20,307,94,4,41
15062115,28,16,359,54,49,320,66,48,118,80,42,96,29,8,313,84,18,90,49,42,312,94,4,41
15062117,54,44,117,43,58,322,66,48,118,38,32,14,84,24,85,84,18,90,39,57,339,96,7,318
15062118,54,44,117,59,48,315,66,48,118,38,32,14,75,35,83,84,18,90,39,57,339,94,4,41
15062119,28,16,359,43,58,312,66,48,118,29,8,313,75,35,83,92,6,71,26,20,307,94,4,41
15062122,54,44,117,31,33,324,66,48,118,29,8,313,80,41,83,92,6,71,26,20,307,95,7,318
15062124,45,19,134,92,6,71,69,59,106,28,11,318,80,33,84,84,18,90,33,26,314,96,7,318
15062126,28,16,359,48,40,314,69,59,106,30,11,328,79,36,83,84,18,90,26,20,307,96,7,318
15062133,28,16,359,43,58,322,54,44,117,35,29,17,75,35,17,92,6,71,26,20,307,94,4,344
15062136,54,44,117,36,55,329,44,28,116,30,29,7,75,35,6,82,35,93,33,26,314,39,53,346
15062139,54,44,117,42,39,319,54,44,117,30,29,7,76,47,85,92,6,71,48,58,336,96,5,344
15062143,28,16,359,43,58,312,54,44,117,38,32,14,75,32,53,84,18,90,26,20,307,94,4,41
15062144,28,16,359,54,49,320,58,45,128,30,16,3,80,42,96,84,18,90,28,35,303,96,7,318
15062145,28,16,359,43,58,322,54,44,117,28,11,318,75,35,83,84,18,90,27,28,306,96,7,318
15062146,28,16,359,43,40,309,72,45,115,45,42,0,84,35,25,82,35,93,26,20,307,96,7,318
15062147,54,44,117,33,34,316,69,59,106,42,37,18,74,24,84,92,6,71,39,53,346,96,7,318
15062149,28,16,359,43,58,322,53,38,132,35,29,17,30,16,83,84,18,90,44,53,341,96,7,318
15062150,28,16,359,43,58,312,54,44,117,28,11,318,80,42,96,92,6,71,26,20,307,94,4,41
15062151,54,44,117,43,58,312,54,44,117,45,42,0,76,47,85,84,18,90,26,20,307,94,4,41
15062152,28,16,359,36,55,329,54,44,117,30,11,328,80,47,18,92,6,71,26,20,307,94,7,318
15062153,54,44,117,43,58,322,66,48,118,38,32,14,79,36,83,92,6,71,43,58,322,94,4,41
15062332,54,44,117,44,53,341,66,48,118,42,36,346,80,28,67,92,6,71,26,20,307,95,5,344
15062333,28,16,359,43,55,329,54,44,117,30,16,3,29,8,313,92,6,71,26,20,307,95,4,41
15062334,54,44,117,43,58,322,58,45,128,81,32,84,41,37,12,92,6,71,26,20,307,94,4,41
15062335,54,44,117,39,57,339,53,38,132,40,35,16,81,41,96,84,18,90,41,60,332,96,7,318
15062337,54,44,117,36,55,329,66,48,118,40,35,16,80,42,96,84,18,90,62,50,338,96,7,318
15062338,54,44,117,36,55,329,54,44,117,42,37,18,76,47,85,84,26,94,52,58,341,95,7,318
15062339,54,44,117,36,55,329,69,59,106,76,47,85,42,37,18,84,26,94,36,39,321,95,7,318
15062344,54,44,117,36,55,329,54,44,117,30,29,7,80,42,96,84,18,90,26,20,307,96,7,318
15062346,54,44,117,41,42,316,54,44,117,80,42,96,42,37,10,84,26,94,36,49,301,96,7,318
15062347,54,44,117,52,45,305,69,59,106,28,16,359,74,37,74,84,18,90,26,20,307,94,4,41
15062349,54,44,117,42,39,319,53,38,132,28,11,318,76,47,85,84,18,90,27,28,306,96,7,318
15062350,54,44,117,54,49,320,54,44,117,30,16,3,75,35,83,84,26,94,38,40,308,96,7,318
15062351,28,16,359,41,42,316,69,59,106,27,22,344,75,35,83,84,18,90,26,20,307,96,7,318
15062353,54,44,117,45,57,327,58,45,128,76,47,85,39,28,22,84,18,90,44,53,341,94,4,41
15062354,54,44,117,54,49,320,76,75,107,75,35,83,39,28,22,84,26,94,39,57,339,94,4,41
15062356,42,17,138,59,48,315,62,43,124,29,8,313,81,37,15,84,26,94,26,20,307,96,7,318
15062357,28,16,359,43,58,322,66,48,118,30,16,3,80,41,86,92,3,32,26,20,307,94,4,41
15062358,28,16,359,43,58,322,58,45,128,28,11,318,76,47,85,84,18,90,36,55,329,94,4,41
15062359,54,44,117,66,36,309,54,44,117,76,47,85,46,36,33,84,18,90,33,26,314,94,4,41
15062360,54,44,117,65,35,303,44,26,116,80,41,86,40,28,27,92,6,71,49,57,317,94,4,41
15062361,54,44,117,43,58,322,58,45,128,30,29,7,80,35,17,84,26,94,33,26,314,94,4,41
15062363,54,44,117,36,55,329,54,44,117,39,28,22,80,41,86,84,18,90,70,16,314,96,7,318
15062366,54,44,117,53,43,320,66,48,118,30,28,345,75,35,83,92,3,32,33,26,314,94,4,41
15062367,28,16,359,41,58,318,71,50,115,75,35,83,29,8,313,84,18,90,33,26,314,94,4,41
15062368,54,44,117,49,57,317,69,59,106,39,28,22,76,47,85,84,26,94,48,58,336,96,7,318
15062369,28,16,359,43,58,312,54,44,117,34,28,21,80,35,85,84,18,90,48,58,336,96,7,318
15062371,54,44,117,43,58,322,54,44,128,75,35,83,43,33,10,92,6,71,36,39,321,96,7,318
