"Registro","CT","CTallo","CPF","CPFlor","CB","CBaya","CPT","CPTuber","CST","CSTuber","CPC","CPulpa","CSC","CSPulpa","CPB","CPBrote","CSB","CSBrote"
"15062099","3","144A","7","N81B","5","144A","8","N79A","0",NA,"2","160C","0",NA,"4","90A","1","NN155A"
"15062100","3","144A","7","N87C","1","144A","1","160A","5","181B","2","155A","0",NA,"4","N80B","1","NN155A"
"15062101","4","N77A","7","90B","4","144B","6","184B","0",NA,"3","160D","0",NA,"4","N92C","0",NA
"15062102","1","144A","1","155A","4","143B","1","161B","5","174C","2","155A","0",NA,"4","N82B","1","NN155A"
"15061404","7","200A","6","N81A","6","144B","9","N187A","2","160B","2","160D","7","79B","4","N92C","3","N79C"
"15061405","2","144A","7","N88C","5","146B","8","N77B","0",NA,"2","155A","0",NA,"4","N92C","1","NN155A"
"15061406","2","144A","7","N82A","5","144A","7","183A","2","162C","2","160D","0",NA,"4","N92C","1","NN155D"
"15061410","2","144A","6","N81A","5","144A","6","181A","1","162C","1","155A","0",NA,"3","71A","0",NA
"15061411","2","144A","8","83C","2","146B","8","N77D","1","160B","1","NN155A","0",NA,"4","N92C","1","NN155A"
"15061413","5","N77A","7","N82C","1","144C","9","N186A","2","162A","2","160D","7","N79B","4","N92C","1","NN155A"
"15062103","3","144A","7","N81A","1","143A","2","162A","8","N79A","3","160C","0",NA,"4","86B","1","NN155A"
"15061414","5","N77A","7","N82C","6","144B","2","162A","8","187A","2","160D","7","N77B","4","83B","1","NN155A"
"15062104","3","144A","8","N88A","6","143B","2","161B","8","N185A","1","160D","7","79C","4","N92C","1","NN155A"
"15062105","5","N77A","7","83C","5","144A","8","N186C","1","160A","1","155C","7","N79A","2","N92C","1","NN155A"
"15061415","3","144A","7","N87A","4","143A","6","181A","0",NA,"1","160D","0",NA,"3","N78A","1","NN155D"
"15062106","7","200A","7","N81A","5","144A","8","N187A","0",NA,"2","160D","7","N79B","4","N92C","3","N79C"
"15061416","3","144A","7","N82C","2","144A","7","183B","2","160A","1","155C","0",NA,"4","N92C","1","NN155D"
"15061417","4","N77A","7","N81C","1","143B","8","N186A","2","162A","2","162D","7","N77D","4","83A","1","NN155B"
"15061418","4","N77A","7","N81C","1","144B","2","162A","8","N186C","2","155A","7","N77B","4","83A","1","NN155A"
"15061419","5","N77A","7","N87A","6","144A","8","N186A","2","160A","1","155C","7","83A","4","N92C","1","NN155A"
"15061420","2","144A","8","83B","2","144A","2","162A","8","N186C","2","155A","0",NA,"4","90C","1","NN155D"
"15061421","3","144A","7","92B","4","144B","6","183A","2","161A","2","160D","0",NA,"3","N92C","1","NN155D"
"15062366","2","144A","7","84A","2","144B","7","N79B","2","161A","1","155C","0",NA,"4","N92D","1","NN155A"
"15062107","3","144A","7","83C","2","143A","8","N77D","1","161B","1","155C","0",NA,"4","N92D","1","NN155A"
"15062108","5","N77A","7","84A","1","144A","9","N186A","1","162B","2","155A","7","N79B","4","N92D","1","NN155A"
"15061422","3","144A","7","N80B","6","144A","7","N186C","2","162B","1","155A","0",NA,"4","72A","1","NN155A"
"15061423","3","144A","7","N82B","2","144A","6","183B","2","162B","1","155A","0",NA,"4","83A","1","NN155A"
"15061424","5","N77A","7","N81C","4","144A","8","N186C","2","160A","2","160C","7","79B","4","92B","1","NN155D"
"15061425","3","144A","7","N82B","4","144A","6","183C","2","160A","2","160D","0",NA,"3","N78B","1","NN155D"
"15062109","2","144A","7","N82A","2","144C","6","178A","1","162A","2","160D","0",NA,"3","N78C","1","NN155A"
"15062110","4","N77A","8","N82B","4","146B","6","178A","0",NA,"2","160D","0",NA,"3","72A","1","NN155A"
"15062111","5","N77A","7","N82A","1","143A","6","186C","0",NA,"3","160C","0",NA,"4","N92C","1","NN155D"
"15062112","5","N77A","7","N82A","6","N144A","9","186A","1","162B","1","155C","7","N79A","4","N92C","1","NN155A"
"15061428","2","144A","7","N82B","2","144B","6","183C","2","160A","2","160D","0",NA,"3","N78B","1","NN155A"
"15062354","2","144A","7","N82B","1","N144B","1","161A","6","178A","3","160C","0",NA,"3","N78A","1","NN155A"
"15061951","2","144A","7","N82C","2","N144A","6","181A","1","162B","2","160D","0",NA,"3","N78B","1","NN155A"
"15061430","1","144A","7","N80A","2","144A","6","181A","2","162A","2","160D","0",NA,"3","N78A","1","NN155A"
"15061434","4","N77A","7","N82B","4","146A","6","183B","0",NA,"2","160D","0",NA,"3","72A","1","NN155D"
"15061435","4","N77A","8","N82A","4","144A","6","184B","9","186A","2","160D","0",NA,"4","92C","0",NA
"15061436","1","144A","6","N81C","5","146B","2","162A","0",NA,"1","155A","0",NA,"4","90B","1","NN155A"
"15062114","5","N77A","8","N82A","4","144C","2","162A","9","N186A","2","160D","0",NA,"4","90D","1","NN155D"
"15061952","5","N77A","7","83B","2","144B","7","183A","2","162B","2","160D","0",NA,"4","N92D","1","NN155A"
"15062115","5","N77A","7","N82B","5","144B","1","160A","9","N186A","2","160D","0",NA,"4","90C","1","NN155A"
"15061437","2","144A","8","83B","4","144C","2","160A","8","N77D","1","155A","0",NA,"4","N92D","0",NA
"15061438","7","200A","7","N81C","1","144A","9","N186A","2","162C","2","155A","7","N77D","4","N92D","3","N78B"
"15061439","3","144A","8","83B","4","144A","2","162A","8","N77A","2","160D","0",NA,"4","N92B","1","NN155A"
"15061441","5","N77A","7","83C","5","144B","2","160A","9","N186A","3","160D","0",NA,"4","92B","1","NN155D"
"15061442","3","144A","8","83A","2","144B","8","N77C","1","160B","2","155A","0",NA,"4","90A","1","NN155A"
"15061443","1","144A","7","84A","1","144C","2","162A","5","182A","2","160D","0",NA,"2","72C","1","NN155A"
"15062367","5","N77A","7","N87A","5","144C","1","161A","9","N186A","3","160D","0",NA,"4","N92D","1","NN155A"
"15061444","3","144A","7","N81A","4","143C","7","187A","0",NA,"1","155A","0",NA,"4","N92C","1","NN155A"
"15061445","7","200A","7","83C","5","144A","2","160A","9","186A","2","160D","0",NA,"4","90A","1","NN155A"
"15061953","7","200A","7","N82A","5","N144A","8","N77A","2","162B","1","155A","7","N79A","4","N92C","1","NN155A"
"15061447","1","144A","7","N81C","2","143A","7","183A","2","160A","1","155A","0",NA,"4","N79B","1","NN155A"
"15061449","2","144A","7","N88C",NA,NA,"8","186B","2","160A","2","160D","0",NA,"4","N92C","1","NN155D"
"15061453","5","N77A","7","N82A","5","146B","9","N186A","2","160A","2","160D","0",NA,"4","90B","1","NN155A"
"15061454","3","144A","7","N88B","2","144A","8","187A","2","160A","2","160D","0",NA,"4","90A","1","NN155A"
"15062117","2","144A","7","N82A","2","144B","6","183C","2","162D","2","160D","0",NA,"3","N78A","1","NN155D"
"15062118","2","144A","7","N87C","2","144B","6","183C","2","161A","2","160D","0",NA,"3","N78A","1","NN155A"
"15061458","3","144A","7","N87D","2","144B","6","181B","2","162A","2","160C","0",NA,"3","N78B","1","NN155D"
"15061459","7","200A","7","N87B","6","146B","9","N186A","2","160A","1","155A","0",NA,"4","N92D","0",NA
"15061461","1","144A","7","N88C","2","N144A","2","160A","6","183C","2","160C","0",NA,"3","N78B","1","NN155D"
"15062368","2","144A","7","N87B","4","N144A","6","178A","2","162A","3","160C","0",NA,"3","N78B","1","NN155D"
"15062119","4","N77A","7","N88B","6","144B","9","N186A","2","161A","2","155A","7","N77B","4","N92C","1","NN155A"
"15061462","3","144A","8","90B","4","145A","2","162A","8","N79A","2","157A","0",NA,"4","94B","1","NN155D"
"15061954","2","144A","7","N82B","2","143A","6","184A","2","162B","2","160D","0",NA,"3","N78A","1","NN155A"
"15061463","3","144A","7","N82C","2","144A","7","N77A","2","160A","2","157A","0",NA,"4","N92D","1","NN155A"
"15061469","3","144A","7","N87B","5","146C","8","N77B","0",NA,"2","157A","0",NA,"4","90B","1","NN155A"
"15061470","3","144A","7","N82C","1","144B","8","N77D","1","164D","2","155A","0",NA,"4","83A","1","NN155A"
"15061471","3","137C","7","N87C","1","144A","7","N77B","1","162C","2","155A","0",NA,"4","N92D","1","NN155D"
"15061475","2","144A","7","91B","4","144C","6","183B","2","160A","2","160D","0",NA,"4","N92C","0",NA
"15061476","4","N77A","7","90C","5","144C","8","N79A","1","160A","2","155A","0",NA,"4","N92D","1","NN155A"
"15061477","3","144A","7","N88B","5","145A","8","N186A","2","162D","1","155A","7","83A","4","N92C","0",NA
"15061478","5","N77A","7","N82C","5","144A","9","N186A","2","160A","1","157A","7","83A","4","N92C","1","NN155A"
"15061479","3","144A","7","N82A","2","144B","6","183A","2","160A","2","157A","0",NA,"3","N79C","1","NN155A"
"15061480","5","N77A","7","N80B","1","144A","9","186A","2","160A","2","160C","0",NA,"4","90B","1","NN155D"
"15061481","2","144A","7","N82A","2","144A","2","162A","5","176B","2","155A","0",NA,"4","N92C","0",NA
"15061482","1","144A","7","N80A",NA,NA,"2","160A","5","182B","1","155A","0",NA,"3","71A","1","NN155A"
"15061484","3","137B","8","83C","4","145A","6","184A","0",NA,"3","160C","0",NA,"4","N92C","0",NA
"15061485","1","144A","7","90A",NA,NA,"2","160A","5","181C","2","160D","0",NA,"3","71A","1","NN155A"
"15061486","7","200A","7","N88C","5","144A","9","N186A","0",NA,"2","157C","0",NA,"4","N92D","1","NN155D"
"15061487","7","200A","8","83C","4","143A","8","N186C","2","160A","1","155A","0",NA,"4","N92C","1","NN155D"
"15061488","5","N77A","7","N82A","6","144A","8","N187A","2","161A","2","155A","0",NA,"4","90A","1","NN155A"
"15061489","5","N77A","7","N81A","6","144B","8","N186C","2","161A","2","160D","0",NA,"4","N92D","1","NN155A"
"15061490","5","N77A","8","N82A","1","144B","7","N186C","2","160A","2","160C","0",NA,"4","N78B","1","NN155A"
"15062122","7","200A","8","83A","1","144B","9","N186A","0",NA,"2","155A","0",NA,"4","N92C","1","NN155C"
"15061491","4","N77A","8","N82A","1","N144A","8","N187A","2","162B","2","160D","7","N79B","3","N78B","1","NN155C"
"15061492","7","200A","7","N82C","1","144A","8","N187A","2","162B","2","160B","7","N79B","4","86B","1","NN155A"
"15061493","3","144A","7","N88B","2","144A","7","187B","2","162B","3","160C","0",NA,"4","N92D","1","NN155C"
"15061494","5","N77A","8","N82A","4","144A","9","N186A","6","187B","1","155A","0",NA,"4","N92D","0",NA
"15061495","4","N77A","8","90B","4","145A","8","187B","2","162B","2","160D","0",NA,"4","N92C","1","NN155D"
"15061496","4","N77A","8","N88A","4","144A","7","178A","2","162B","2","155A","0",NA,"4","N92D","1","NN155D"
"15061498","7","200A","8","86A","1","144A","8","N186A","2","162B","2","160D","0",NA,"4","N92D","1","NN155D"
"15062123","2","144A","7","N88C","2","144A","2","161A","6","181A","2","155A","0",NA,"4","N92C","0",NA
"15061499","2","144A","7","N88D","1","N144A","2","162B","6","182A","2","160D","0",NA,"1","N92D","1","NN155D"
"15061500","1","144A","7","N81A","1","146B","2","160A","5","182A","1","155C","0",NA,"3","N80B","1","NN155A"
"15061501","4","N77A","7","N82A","5","146B","2","165C","6","178B","2","155A","0",NA,"3","N80A","1","NN155D"
"15061503","3","144A","7","N88C","1","144B","8","N77D","1","160B","2","160C","0",NA,"4","92D","1","NN155D"
"15061504","2","137B","7","N82B","5","144A","8","N77D","1","160B","2","155A","0",NA,"4","90D","1","NN155C"
"15061505","3","137C","7","N81A","5","144B","6","182A","0",NA,"3","160C","0",NA,"3","N78A","0",NA
"15061507","3","144A","8","N81A","2","N144A","8","183C","2","160A","2","155A","0",NA,"4","90B","1","NN155A"
"15061508","4","N77A","8","N81A","2","144B","1","160A","8","183B","2","155A","0",NA,"4","90B","1","NN155A"
"15061509","3","144A","1","155A","5","144B","9","N187A","0",NA,"2","160D","7","N79A","4","N92D","1","NN155A"
"15061511","3","144A","1","155A","5","146B","9","N186A","0",NA,"2","155A","7","N79A","4","N92C","1","NN155A"
"15061514","2","144A","7","N88D","4","144B","6","181A","2","162B","2","160D","0",NA,"4","N92C","1","NN155D"
"15062124","3","137B","1","155A","5","N144A","9","N186B","0",NA,"2","160D","7","N79A","4","N92D","1","NN155D"
"15061515","3","137B","1","155A","5","146C","7","183B","1","173D","3","160D","0",NA,"4","N92D","1","NN155D"
"15061516","4","N77A","6","N80A","1","144B","6","183C","0",NA,"2","155B","0",NA,"3","71A","1","NN155B"
"15061517","3","137A","7","N82A","5","144A","6","187B","2","160A","2","160D","0",NA,"4","91B","1","NN155D"
"15061518","3","144A","7","N82A","2","144B","7","187B","2","162B","1","155A","0",NA,"4","91A","1","NN155A"
"15061520","3","144A","7","N82A","4","146B","7","178A","2","162B","3","160B","0",NA,"4","N79D","1","NN155A"
"15061521","4","N77A","7","N82C","4","144B","7","183B","2","162B","4","160B","0",NA,"4","N75B","1","NN155D"
"15061522","4","N77A","7","N82A","1","144B","2","162A","8","183C","1","155A","0",NA,"4","N92C","0",NA
"15061523","5","N77A","8","N82A","1","145A","9","N186C","2","160A","1","155A","7","79A","4","N92C","1","NN155A"
"15061524","5","N77A","8","N82C","4","143C","9","N187A","6","187D","2","155A","0",NA,"4","N92D","0",NA
"15061525","3","144A","8","83A","2","145A","8","N77B","2","160A","1","155A","0",NA,"4","90C","1","NN155D"
"15061526","5","N77A","7","90C","4","144A","7","187A","2","161A","2","160C","0",NA,"4","92C","0",NA
"15061527","5","N77A","7","N87C","4","146B","7","187A","0",NA,"2","160D","0",NA,"4","N88B","1","NN155B"
"15061528","7","200A","7","N82A","2","144B","6","183C","8","N186C","2","160D","0",NA,"4","N92C","0",NA
"15061529","3","144A","1","155A","5","144B","8","N187A","0",NA,"2","160D","7","83A","4","N92D","1","NN155D"
"15061530","3","144A","8","83B","2","144B","8","N186C","1","164C","1","155A","0",NA,"4","94B","1","NN155A"
"15061533","3","144A","8","N89A","2","143A","8","N77A","2","162B","1","155A","0",NA,"4","N92D","1","NN155D"
"15061534","2","144A","7","N82B","4","146B","8","N186B","0",NA,"4","160A","7","86A","4","90A","0",NA
"15061535","4","N77A","7","N87B","2","144A","7","183A","2","162B","2","160D","0",NA,"4","N92C","1","NN155D"
"15061536","5","N77A","7","N81A","1","N144A","9","N186A","2","162B","1","155A","7","N79A","4","N92C","1","NN155D"
"15061537","2","144A","1","155A","1","144C","5","182B","1","163D","3","160C","0",NA,"4","90D","1","NN155A"
"15062126","5","N77A","7","86C","5","N144A","9","N187A","2","161B","2","160D","7","N79A","4","N92C","1","NN155D"
"15061538","5","N77A","8","83C","5","N144","9","N187A","2","162A","1","155A","7","N79A","4","90D","1","NN155A"
"15061539","3","144A","8","N82A","5","144A","2","161A","8","N79A","2","160D","7","N79B","4","90B","1","NN155D"
"15061540","2","144A","8","N82A","5","145A","2","162B","6","178B","2","160D","0",NA,"4","N92C","0",NA
"15061542","2","144A","7","N81C","4","146B","7","187A","2","162B","3","160D","0",NA,"4","N87B","1","NN155C"
"15061543","1","144A","7","N81B","1","144B","6","183C","2","162B","3","160D","0",NA,"4","N92D","1","NN155A"
"15061544","5","N77A","7","N81D","6","146B","8","187A","2","162A","1","155C","7","N79A","4","N92D","1","NN155A"
"15061546","4","N77A","8","N81B","2","144A","8","N186A","2","162B","1","155A","7","N79A","4","N92D","1","NN155D"
"15061548","3","144A","7","N81A","5","144A","6","187B","0",NA,"2","160C","0",NA,"4","N81B","1","NN155D"
"15061549","3","137C","7","N81A","2","143A","8","N187A","2","162C","2","160D","7","N81A","4","N92C","1","NN155A"
"15061550","5","N77A","7","N87D","4","144A","7","187A","2","160A","2","160C","0",NA,"4","N92D","1","NN155D"
"15061551","2","144A","7","N81B",NA,NA,"2","162B","5","182B","1","155A","0",NA,"3","N78B","1","NN155A"
"15061552","2","144A","7","N81D","1","144A","6","183B","0",NA,"3","160C","0",NA,"3","N78A","1","NN155D"
"15061553","2","144A","7","92C","4","144A","6","184B","0",NA,"4","160D","0",NA,"4","N92D","1","NN155D"
"15061554","2","137A","7","N82C","4","144A","1","164C","6","N77B","2","160B","0",NA,"4","86B","1","NN155D"
"15061555","2","137A","7","92B","4","144A","5","181B","2","160B","2","160D","0",NA,"4","N92C","1","NN155D"
"15061556","2","144A","7","N82A","5","144A","2","160A","5","181D","1","155A","0",NA,"4","N87C","1","NN155A"
"15061956","5","N77A","7","N82C","5","144A","7","183A","0",NA,"4","160C","0",NA,"4","N92D","1","NN155A"
"15061957","2","144A","7","N87D","5","146B","6","183C","0",NA,"2","155A","0",NA,"4","N82A","1","NN155D"
"15061557","2","144A","7","N87C","2","146B","6","184A","2","160A","2","160D","0",NA,"4","N92C","0",NA
"15061560","2","144A","7","N82C","2","144B","6","184A","3","174B","2","160D","0",NA,"4","N92D","1","NN155D"
"15061561","1","144A","7","N82A","1","144A","2","160A","8","N77B","2","160D","0",NA,"4","75A","1","NN155A"
"15061563","2","144A","8","N88B","1","144A","2","162A","7","187A","2","160D","0",NA,"4","N92C","1","NN155A"
"15061564","2","144A","7","N82C","1","143A","7","168A","2","160A","2","155A","0",NA,"4","N81A","1","NN155A"
"15061565","2","137A","7","N82B","4","146A","5","184A","2","161C","4","160C","0",NA,"3","N78B","1","NN155D"
"15061566","5","N77A","8","N87B","6","146B","9","N186A","1","160A","1","155A","7","N79A","4","N92D","1","NN155A"
"15061567","1","144A","7","N80C","2","144B","2","162A","6","176B","3","160C","0",NA,"3","N78A","1","NN155A"
"15061568","2","144A","7","N82A","1","144A","2","160A","6","181A","2","160D","0",NA,"4","N82B","1","NN155A"
"15061571","3","144A","7","N82C","1","N144A","6","184B","3","165D","1","155A","0",NA,"4","N81B","1","NN155D"
"15061958","2","144A","7","N82D","5","145B","2","162A","5","182A","2","160D","0",NA,"3","N78B","1","NN155A"
"15061575","3","137C","8","86B","5","144B","6","185B","0",NA,"3","160D","0",NA,"4","N92C","0",NA
"15062130","2","144A","7","83D","2","N144A","6","184A","2","161A","2","155A","0",NA,"3","71A","1","NN155D"
"15061576","3","137C","7","N87D","1","144A","1","160B","8","N77B","2","160D","0",NA,"4","N92D","1","NN155A"
"15061577","3","144A","7","N82A","1","144A","8","N187A","1","162A","3","160C","7","79C","4","N92C","1","NN155A"
"15061578","7","200A","7","N82C","1","144A","8","N186C","2","161B","2","155A","0",NA,"4","N81A","1","NN155A"
"15061579","5","N77A","7","N82A","1","145A","8","N186C","1","160A","2","155A","7","N79A","4","N92D","1","NN155A"
"15062356","3","137A","7","N87C","4","143C","9","N186A","0",NA,"4","160C","7","N79A","4","N92C","1","NN155D"
"15061580","3","137A","7","91A","5","144B","7","187A","2","160A","2","160D","0",NA,"4","N92C","1","NN155A"
"15061583","1","144A","7","N87C","5","144A","8","N77D","1","160D","1","155A","0",NA,"4","90D","1","NN155D"
"15061584","2","144A","7","N82A","5","144B","6","181B","2","162B","2","155A","0",NA,"4","N81B","1","NN155A"
"15061585","3","137C","7","N81D",NA,NA,"8","N77A","1","162D","1","155C","0",NA,"4","N92D","1","NN155A"
"15061586","1","144A","7","N82D","1","144B","2","160A","5","181C","1","155C","0",NA,"3","N74A","1","NN155B"
"15061588","2","137A","8","83C","5","144A","7","183B","1","161B","2","160D","0",NA,"4","N92C","1","NN155A"
"15062133","7","200A","8","N82A","4","144A","6","183B","0",NA,"2","155A","0",NA,"4","N92C","0",NA
"15061600","2","144A","7","N80C","5","144A","6","183B","2","162C","3","160D","0",NA,"4","N82C","1","NN155D"
"15061601","5","N77A","8","86A","1","146A","6","157B","8","186B","3","160C","0",NA,"4","N92C","1","NN155D"
"15061602","2","144A","7","N88D","1","143A","6","184A","0",NA,"3","160C","0",NA,"4","86A","1","NN155D"
"15061603","7","200A","8","83C","1","144B","9","N186A","2","160A","1","155C","7","N79A","4","N92B","1","NN155D"
"15061604","1","144A","7","90C","1","143B","6","187C","0",NA,"3","160D","0",NA,"3","71B","0",NA
"15061605","2","144A","7","N82C","1","144B","2","160A","5","186B","2","157B","0",NA,"4","N82B","1","NN155D"
"15061608","3","144A","6","N78C","1","143A","2","160C","8","186A","2","160C","0",NA,"4","83A","1","NN155A"
"15061609","7","200A","7","N82A","6","144A","8","187A","1","160A","1","155A","7","79A","4","N92C","1","NN155D"
"15061610","3","137A","7","83B","6","144B","8","N77A","1","160A","2","155A","0",NA,"4","N92C","1","NN155A"
"15061612","5","N77A","7","N82A","4","144A","2","162B","8","83A","1","155A","0",NA,"4","N92D","1","NN155C"
"15061613","2","144A","7","N82B","5","143B","8","183D","1","161D","2","NN155A","0",NA,"4","N92D","1","NN155D"
"15061960","7","200A","4","92A","2","144A","9","N186A","0",NA,"2","160D","0",NA,"4","N92C","1","NN155A"
"15061614","2","144A","6","N82B","4","144A","7","178A","1","163D","2","155A","0",NA,"4","83A","1","NN155D"
"15061961","7","200A","8","83C","5","N144A","7","187A","2","162B","1","155A","7","N79A","4","N92C","1","NN155D"
"15062136","7","200A","7","N81A","2","N145A","6","187B","0",NA,"4","160B","0",NA,"4","N92D","3","72A"
"15062137","7","200A","7","N82A","6","144A","8","N186C","1","162B","2","155A","7","N79B","4","N81A","1","NN155A"
"15061619","4","N77A","7","N82A","5","143A","8","N186B","1","162B","2","160D","7","N77B","4","72A","1","NN155D"
"15061621","3","144A","6","N78A","5","N144A","6","183C","0",NA,"3","160C","0",NA,"4","77A","1","NN155A"
"15061622","2","144A","7","92A","2","144A","2","162A","8","N77A","2","160D","0",NA,"4","N92C","1","NN155D"
"15061623","3","144A","7","90A","4","144B","6","178B","2","160A","2","155A","0",NA,"4","N92C","1","NN155D"
"15061624","7","200A","7","90A","4","144A","6","182A","2","160A","2","155A","0",NA,"4","N81A","1","NN155A"
"15062138","4","N77A","7","N82A","1","N144A","8","N186A","1","161A","2","155C","7","N79A","4","N92B","1","NN155A"
"15061626","4","N77A","7","83B","1","144A","8","N186A","2","160A","2","155A","7","N79A","4","N92C","1","NN155D"
"15061627","3","144A","7","N88D","5","N144B","3","174C","8","N79B","2","155A","0",NA,"4","N82B","1","NN155D"
"15061628","3","144A","1","155A","1","N144A","2","161B","8","79B","2","160D","0",NA,"4","90A","1","NN155D"
"15061629","4","N77A","7","N82C","5","N144B","2","162B","5","178A","2","155A","0",NA,"4","N92C","1","NN155D"
"15061630","4","N77A","7","N87A","4","143C","9","N186B","0",NA,"4","160A","7","N79A","4","N92C","1","NN155D"
"15061631","4","N77A","7","N82A","5","144B","9","N186B","2","162A","1","155A","7","N79A","4","N92B","1","NN155A"
"15061632","2","144A","7","N82A","4","144A","6","183B","0",NA,"2","155A","0",NA,"3","71B","1","NN155D"
"15062139","3","144A","7","83C","5","144A","6","187B","2","162A","1","155A","0",NA,"3","N78B","0",NA
"15061633","5","N77A","7","N87B","6","144A","8","161B","1","161B","2","155A","0","N79B","4","90B","1","NN155A"
"15061962","2","144A","7","N82B","1","144A","2","161A","5","182B","2","155A","0",NA,"4","N80B","1","NN155A"
"15061637","3","143A","7","N82A","2","N144A","2","161A","6","183D","2","160D","0",NA,"4","N92C","1","NN155D"
"15061638","1","144A","7","90D","2","144A","2","161A","5","183D","3","160C","0",NA,"4","N92D","1","NN155D"
"15061639","3","137C","7","N82C","1","144A","7","N79B","2","160D","1","155A","0",NA,"4","N82A","1","NN155D"
"15061640","5","N77A","8","90A","4","144A","9","N186A","2","162C","3","160D","0",NA,"4","N92C","1","NN155D"
"15061641","3","144A","7","N82B","1","144A","7","N79B","1","160B","1","155B","0",NA,"4","N87C","1","NN155D"
"15061642","3","144A","7","N82B","5","144A","4","176B","8","N77B","2","160D","0",NA,"4","N92C","1","NN155A"
"15061645","7","200A","7","N82B","4","N144A","9","N186A","2","162B","3","160D","0",NA,"4","N92B","1","NN155D"
"15061963","7","200A","7","N82A","5","143B","8","N186B","1","162B","2","155A","0",NA,"4","N79D","0",NA
"15061646","3","144A","1","155A","1","144A","8","182B","1","161C","2","160C","0",NA,"4","N92C","1","NN155D"
"15061647","2","144A","7","92A","2","144A","2","162A","8","N79B","2","155A","0",NA,"4","N92B","1","NN155A"
"15061648","3","143A","8","N82A","1","144B","9","N186B","2","164C","2","160D","0",NA,"4","N92C","0",NA
"15061649","2","144A","7","90D","5","143B","8","N79B","1","161A","2","160D","0",NA,"4","N92D","1","NN155D"
"15061650","2","144A","7","92A","5","144B","1","160A","0",NA,"3","160B","0",NA,"4","N92D","1","NN155A"
"15061651","2","143B","8","N82A","2","N144A","8","N79B","1","161A","2","155A","0",NA,"4","N92D","1","NN155A"
"15061653","2","144A","7","N80B","4","144A","2","161A","6","182A","3","160C","0",NA,"3","N78B","1","NN155D"
"15061654","2","144A","7","N82A","5","144A","8","N77D","1","165D","1","155A","0",NA,"4","N92D","1","NN155A"
"15061655","2","144A","7","N88D","4","144B","2","162A","0",NA,"3","160D","0",NA,"4","N81A","1","NN155A"
"15061656","3","143A","7","N88D","5","143B","8","N77B","1","161C","2","155A","0",NA,"4","86B","1","NN155B"
"15061658","3","143A","7","N87C","1","144A","8","N77B","1","162C","2","155A","0",NA,"4","N92D","1","NN155D"
"15061659","3","137C","7","N82A","1","144A","8","N77B","1","162B","2","155A","0",NA,"4","83C","1","NN155D"
"15061661","2","144A","7","N82D","5","143A","8","N77B","1","162B","2","155C","0",NA,"4","90A","1","NN155D"
"15061662","5","N77A","7","90C",NA,NA,"8","N77A","2","160A","1","155C","0",NA,"4","N92D","1","NN155A"
"15062357","5","N77A","7","N82A","6","144B","8","N186C","2","162B","1","155C","7","N79A","3","N92C","1","NN155A"
"15062142","2","144A","7","N82A","5","N144A","2","162B","5","182A","2","155A","0",NA,"4","N81B","1","NN155A"
"15061665","2","144A","7","N82A","5","144A","2","164C","6","182A","2","160D","0",NA,"4","N81C","0",NA
"15061666","4","N77A","7","N81A","1","144B","1","161B","8","N186B","2","155A","0",NA,"4","86A","1","NN155A"
"15061668","2","144A","7","N87B","5","N144A","2","161A","6","183C","3","160D","0",NA,"3","N78A","1","NN155D"
"15062143","4","N77A","7","N88B","4","144A","6","183C","0",NA,"2","160D","0",NA,"4","N92C","1","NN155A"
"15061667","4","N77A","7","N88C","4","143C","6","178A","0",NA,"2","160D","0",NA,"4","N92C","0",NA
"15061669","2","144A","7","N80B","5","146C","2","162A","6","181A","2","155A","0",NA,"3","N78B","1","NN155D"
"15061670","2","144A","7","N81A","1","143A","7","183C","0",NA,"2","155A","0",NA,"3","N81A","1","NN155A"
"15061671","2","144A","7","N80B","1","144A","6","183A","0",NA,"3","160C","0",NA,"3","N78A","1","NN155D"
"15061673","4","N77A","7","N82B","6","146B","7","187D","0",NA,"2","155A","0",NA,"4","N81B","1","NN155D"
"15061676","2","144A","7","86B","6","143B","6","183C","1","161B","2","160D","0",NA,"4","N92D","1","NN155D"
"15061677","7","200A","7","N80B","6","144A","9","N187A","1","161B","1","155A","7","N77B","4","N92D","1","NN155D"
"15061678","7","200A","7","N81A","1","N144A","9","N187A","1","161A","2","160D","0",NA,"4","N92D","0",NA
"15061679","4","N77A","7","N81A","5","N144B","6","183B","0",NA,"3","160D","0",NA,"4","N92C","0",NA
"15061680","3","137C","7","N81A","6","144B","7","183A","2","160C","2","155A","0",NA,"4","N81A","1","NN155B"
"15061682","3","137C","7","91A","4","144C","2","161A","7","184B","2","160D","0",NA,"4","N92C","1","NN155A"
"15061683","4","N77A","7","N82A","6","N144C","6","184A","0",NA,"2","155A","0",NA,"4","N92D","1","NN155D"
"15061684","2","144A","7","N87D","6","146B","8","178A","1","174C","2","155A","0",NA,"4","N92B","1","NN155D"
"15061685","3","137C","7","N82B","1","144C","6","183C","0",NA,"4","160C","0",NA,"4","N92B","1","NN155D"
"15061686","3","137C","7","N81A","5","N144A","7","N186C","2","161A","2","160D","0",NA,"4","N92C","1","NN155A"
"15061687","2","144A","7","N82A","5","144A","9","N186A","3","182B","2","155A","7","N77B","4","90A","1","NN155D"
"15061702","7","200A",NA,NA,"2","146B","9","186A","2","161B","2","160D","0",NA,"4","N92B","1","NN155D"
