Registro,CT,CTallo,CPF,CPFlor,CB,CBaya,CPT,CPTuber,CST,CSTuber,CPC,CPulpa,CPB,CPBrote,CSB,CSBrote
15061424,5 Pigmentado con poco verde,N77A,7 Morado,N81C,4 Verde con abundantes puntos blancos,144A,8 Morado,N186C,2 Amarillo,160A,2 Crema,160C,4 Morado,92B,1 Blanco,NN155D
15061425,3 Verde con muchas manchas,144A,7 Morado,N82B,4 Verde con abundantes puntos blancos,144A,6 Rojo,183C,2 Amarillo,160A,2 Crema,160D,3 Rojo,N78B,1 Blanco,NN155D
15062109,2 Verde con pocas manchas,144A,7 Morado,N82A,2 Verde con pocos puntos blancos,144C,6 Rojo,178A,1 Blanco-crema,162A,2 Crema,160D,3 Rojo,N78C,1 Blanco,NN155A
15062110,4 Pigmentado con abundante verde,N77A,8 Violeta,N82B,4 Verde con abundantes puntos blancos,146B,6 Rojo,178A,0 Ausente,,2 Crema,160D,3 Rojo,72A,1 Blanco,NN155A
15062111,5 Pigmentado con poco verde,N77A,7 Morado,N82A,1 Verde,143A,6 Rojo,186C,0 Ausente,,3 Amarillo claro,160C,4 Morado,N92C,1 Blanco,NN155D
15062112,5 Pigmentado con poco verde,N77A,7 Morado,N82A,6 Verde con bandas pigmentadas,N144A,9 Negruzco,186A,1 Blanco-crema,162B,1 Blanco,155C,4 Morado,N92C,1 Blanco,NN155A
15061428,2 Verde con pocas manchas,144A,7 Morado,N82B,2 Verde con pocos puntos blancos,144B,6 Rojo,183C,2 Amarillo,160A,2 Crema,160D,3 Rojo,N78B,1 Blanco,NN155A
15062354,2 Verde con pocas manchas,144A,7 Morado,N82B,1 Verde,N144B,1 Blanco-crema,161A,6 Rojo,178A,3 Amarillo claro,160C,3 Rojo,N78A,1 Blanco,NN155A
15061951,2 Verde con pocas manchas,144A,7 Morado,N82C,2 Verde con pocos puntos blancos,N144A,6 Rojo,181A,1 Blanco-crema,162B,2 Crema,160D,3 Rojo,N78B,1 Blanco,NN155A
15061430,1 Verde,144A,7 Morado,N80A,2 Verde con pocos puntos blancos,144A,6 Rojo,181A,2 Amarillo,162A,2 Crema,160D,3 Rojo,N78A,1 Blanco,NN155A
15061434,4 Pigmentado con abundante verde,N77A,7 Morado,N82B,4 Verde con abundantes puntos blancos,146A,6 Rojo,183B,0 Ausente,,2 Crema,160D,3 Rojo,72A,1 Blanco,NN155D
15061435,4 Pigmentado con abundante verde,N77A,8 Violeta,N82A,4 Verde con abundantes puntos blancos,144A,6 Rojo,184B,9 Negruzco,186A,2 Crema,160D,4 Morado,92C,0 Ausente,
15061436,1 Verde,144A,6 Lila,N81C,5 Verde con áreas pigmentadas,146B,2 Amarillo,162A,0 Ausente,,1 Blanco,155A,4 Morado,90B,1 Blanco,NN155A
15062114,5 Pigmentado con poco verde,N77A,8 Violeta,N82A,4 Verde con abundantes puntos blancos,144C,2 Amarillo,162A,9 Negruzco,N186A,2 Crema,160D,4 Morado,90D,1 Blanco,NN155D
15061952,5 Pigmentado con poco verde,N77A,7 Morado,83B,2 Verde con pocos puntos blancos,144B,7 Rojo-morado,183A,2 Amarillo,162B,2 Crema,160D,4 Morado,N92D,1 Blanco,NN155A
15062115,5 Pigmentado con poco verde,N77A,7 Morado,N82B,5 Verde con áreas pigmentadas,144B,1 Blanco-crema,160A,9 Negruzco,N186A,2 Crema,160D,4 Morado,90C,1 Blanco,NN155A
15061437,2 Verde con pocas manchas,144A,8 Violeta,83B,4 Verde con abundantes puntos blancos,144C,2 Amarillo,160A,8 Morado,N77D,1 Blanco,155A,4 Morado,N92D,0 Ausente,
15061438,7 Morado,200A,7 Morado,N81C,1 Verde,144A,9 Negruzco,N186A,2 Amarillo,162C,2 Crema,155A,4 Morado,N92D,3 Rojo,N78B
15061439,3 Verde con muchas manchas,144A,8 Violeta,83B,4 Verde con abundantes puntos blancos,144A,2 Amarillo,162A,8 Morado,N77A,2 Crema,160D,4 Morado,N92B,1 Blanco,NN155A
15061441,5 Pigmentado con poco verde,N77A,7 Morado,83C,5 Verde con áreas pigmentadas,144B,2 Amarillo,160A,9 Negruzco,N186A,3 Amarillo claro,160D,4 Morado,92B,1 Blanco,NN155D
15061442,3 Verde con muchas manchas,144A,8 Violeta,83A,2 Verde con pocos puntos blancos,144B,8 Morado,N77C,1 Blanco-crema,160B,2 Crema,155A,4 Morado,90A,1 Blanco,NN155A
15061443,1 Verde,144A,7 Morado,84A,1 Verde,144C,2 Amarillo,162A,5 Rosado,182A,2 Crema,160D,2 Rosado,72C,1 Blanco,NN155A
15062367,5 Pigmentado con poco verde,N77A,7 Morado,N87A,5 Verde con áreas pigmentadas,144C,1 Blanco-crema,161A,9 Negruzco,N186A,3 Amarillo claro,160D,4 Morado,N92D,1 Blanco,NN155A
15061444,3 Verde con muchas manchas,144A,7 Morado,N81A,4 Verde con abundantes puntos blancos,143C,7 Rojo-morado,187A,0 Ausente,,1 Blanco,155A,4 Morado,N92C,1 Blanco,NN155A
15061445,7 Morado,200A,7 Morado,83C,5 Verde con áreas pigmentadas,144A,2 Amarillo,160A,9 Negruzco,186A,2 Crema,160D,4 Morado,90A,1 Blanco,NN155A
15061953,7 Morado,200A,7 Morado,N82A,5 Verde con áreas pigmentadas,N144A,8 Morado,N77A,2 Amarillo,162B,1 Blanco,155A,4 Morado,N92C,1 Blanco,NN155A
15061447,1 Verde,144A,7 Morado,N81C,2 Verde con pocos puntos blancos,143A,7 Rojo-morado,183A,2 Amarillo,160A,1 Blanco,155A,4 Morado,N79B,1 Blanco,NN155A
15061449,2 Verde con pocas manchas,144A,7 Morado,N88C,.,.,8 Morado,186B,2 Amarillo,160A,2 Crema,160D,4 Morado,N92C,1 blanco,NN155D
15061453,5 Pigmentado con poco verde,N77A,7 Morado,N82A,5 Verde con áreas pigmentadas,146B,9 Negruzco,N186A,2 Amarillo,160A,2 Crema,160D,4 Morado,90B,1 Blanco,NN155A
15061454,3 Verde con muchas manchas,144A,7 Morado,N88B,2 Verde con pocos puntos blancos,144A,8 Morado,187A,2 Amarillo,160A,2 Crema,160D,4 Morado,90A,1 Blanco,NN155A
15062117,2 Verde con pocas manchas,144A,7 Morado,N82A,2 Verde con pocos puntos blancos,144B,6 Rojo,183C,2 Amarillo,162D,2 Crema,160D,3 Rojo,N78A,1 Blanco,NN155D
15062118,2 Verde con pocas manchas,144A,7 Morado,N87C,2 Verde con pocos puntos blancos,144B,6 Rojo,183C,2 Amarillo,161A,2 Crema,160D,3 Rojo,N78A,1 Blanco,NN155A
15061458,3 Verde con muchas manchas,144A,7 Morado,N87D,2 Verde con pocos puntos blancos,144B,6 Rojo,181B,2 Amarillo,162A,2 Crema,160C,3 Rojo,N78B,1 Blanco,NN155D
15061459,7 Morado,200A,7 Morado,N87B,6 Verde con bandas pigmentadas,146B,9 Negruzco,N186A,2 Amarillo,160A,1 Blanco,155A,4 Morado,N92D,0 Ausente,
15061461,1 Verde,144A,7 Morado,N88C,2 Verde con pocos puntos blancos,N144A,2 Amarillo,160A,6 Rojo,183C,2 Crema,160C,3 Rojo,N78B,1 Blanco,NN155D
15062368,2 Verde con pocas manchas,144A,7 Morado,N87B,4 Verde con abundantes puntos blancos,N144A,6 Rojo,178A,2 Amarillo,162A,3 Amarillo claro,160C,3 Rojo,N78B,1 Blanco,NN155D
15062119,4 Pigmentado con abundante verde,N77A,7 Morado,N88B,6 Verde con bandas pigmentadas,144B,9 Negruzco,N186A,2 Amarillo,161A,2 Crema,155A,4 Morado,N92C,1 Blanco,NN155A
15061462,3 Verde con muchas manchas,144A,8 Violeta,90B,4 Verde con abundantes puntos blancos,145A,2 Amarillo,162A,8 Morado,N79A,2 Crema,157A,4 Morado,94B,1 Blanco,NN155D
15061954,2 Verde con pocas manchas,144A,7 Morado,N82B,2 Verde con pocos puntos blancos,143A,6 Rojo,184A,2 Amarillo,162B,2 Crema,160D,3 Rojo,N78A,1 Blanco,NN155A
15061463,3 Verde con muchas manchas,144A,7 Morado,N82C,2 Verde con pocos puntos blancos,144A,7 Rojo-morado,N77A,2 Amarillo,160A,2 Crema,157A,4 Morado,N92D,1 Blanco,NN155A
15061469,3 Verde con muchas manchas,144A,7 Morado,N87B,5 Verde con áreas pigmentadas,146C,8 Morado,N77B,0 Ausente,,2 Crema,157A,4 Morado,90B,1 Blanco,NN155A
15061470,3 Verde con muchas manchas,144A,7 Morado,N82C,1 Verde,144B,8 Morado,N77D,1 Blanco-crema,164D,2 Crema,155A,4 Morado,83A,1 Blanco,NN155A
15061471,3 Verde con muchas manchas,137C,7 Morado,N87C,1 Verde,144A,7 Rojo-morado,N77B,1 Blanco-crema,162C,2 Crema,155A,4 Morado,N92D,1 Blanco,NN155D
15061475,2 Verde con pocas manchas,144A,7 Morado,91B,4 Verde con abundantes puntos blancos,144C,6 Rojo,183B,2 Amarillo,160A,2 Crema,160D,4 Morado,N92C,0 Ausente,
15061476,4 Pigmentado con abundante verde,N77A,7 Morado,90C,5 Verde con áreas pigmentadas,144C,8 Morado,N79A,1 Blanco-crema,160A,2 Crema,155A,4 Morado,N92D,1 Blanco,NN155A
15061477,3 Verde con muchas manchas,144A,7 Morado,N88B,5 Verde con áreas pigmentadas,145A,8 Morado,N186A,2 Amarillo,162D,1 Blanco,155A,4 Morado,N92C,0 Ausente,
15061478,5 Pigmentado con poco verde,N77A,7 Morado,N82C,5 Verde con áreas pigmentadas,144A,9 Negruzco,N186A,2 Amarillo,160A,1 Blanco,157A,4 Morado,N92C,1 Blanco,NN155A
15061479,3 Verde con muchas manchas,144A,7 Morado,N82A,2 Verde con pocos puntos blancos,144B,6 Rojo,183A,2 Amarillo,160A,2 Crema,157A,3 Rojo,N79C,1 Blanco,NN155A
15061480,5 Pigmentado con poco verde,N77A,7 Morado,N80B,1 Verde,144A,9 Negruzco,186A,2 Amarillo,160A,2 Crema,160C,4 Morado,90B,1 Blanco,NN155D
15061481,2 Verde con pocas manchas,144A,7 Morado,N82A,2 Verde con pocos puntos blancos,144A,2 Amarillo,162A,5 Rosado,176B,2 Crema,155A,4 Morado,N92C,0 Ausente,
15061482,1 Verde,144A,7 Morado,N80A,.,.,2 Amarillo,160A,5 Rosado,182B,1 Blanco,155A,3 Rojo,71A,1 Blanco,NN155A
15061484,3 Verde con muchas manchas,137B,8 Violeta,83C,4 Verde con abundantes puntos blancos,145A,6 Rojo,184A,0 Ausente,,3 Amarillo claro,160C,4 Morado,N92C,0 Ausente,
15061485,1 Verde,144A,7 Morado,90A,.,.,2 Amarillo,160A,5 Rosado,181C,2 Crema,160D,3 Rojo,71A,1 Blanco,NN155A
15061486,7 Morado,200A,7 Morado,N88C,5 Verde con áreas pigmentadas,144A,9 Negruzco,N186A,0 Ausente,,2 Crema,157C,4 Morado,N92D,1 Blanco,NN155D
15061487,7 Morado,200A,8 Violeta,83C,4 Verde con abundantes puntos blancos,143A,8 Morado,N186C,2 Amarillo,160A,1 Blanco,155A,4 Morado,N92C,1 Blanco,NN155D
15061488,5 Pigmentado con poco verde,N77A,7 Morado,N82A,6 Verde con bandas pigmentadas,144A,8 Morado,N187A,2 Amarillo,161A,2 Crema,155A,4 Morado,90A,1 Blanco,NN155A
15061489,5 Pigmentado con poco verde,N77A,7 Morado,N81A,6 Verde con bandas pigmentadas,144B,8 Morado,N186C,2 Amarillo,161A,2 Crema,160D,4 Morado,N92D,1 Blanco,NN155A
15061490,5 Pigmentado con poco verde,N77A,8 Violeta,N82A,1 Verde,144B,7 Rojo-morado,N186C,2 Amarillo,160A,2 Crema,160C,4 Morado,N78B,1 Blanco,NN155A
15062122,7 Morado,200A,8 Violeta,83A,1 Verde,144B,9 Negruzco,N186A,0 Ausente,,2 Crema,155A,4 Morado,N92C,1 Blanco,NN155C
15061491,4 Pigmentado con abundante verde,N77A,8 Violeta,N82A,1 Verde,N144A,8 Morado,N187A,2 Amarillo,162B,2 Crema,160D,3 Rojo,N78B,1 Blanco,NN155C
15061492,7 Morado,200A,7 Morado,N82C,1 Verde,144A,8 Morado,N187A,2 Amarillo,162B,2 Crema,160B,4 Morado,86B,1 Blanco,NN155A
15061493,3 Verde con muchas manchas,144A,7 Morado,N88B,2 Verde con pocos puntos blancos,144A,7 Rojo-morado,187B,2 Amarillo,162B,3 Amarillo claro,160C,4 Morado,N92D,1 Blanco,NN155C
15061494,5 Pigmentado con poco verde,N77A,8 Violeta,N82A,4 Verde con abundantes puntos blancos,144A,9 Negruzco,N186A,6 Rojo,187B,1 Blanco,155A,4 Morado,N92D,0 Ausente,
15061495,4 Pigmentado con abundante verde,N77A,8 Violeta,90B,4 Verde con abundantes puntos blancos,145A,8 Morado,187B,2 Amarillo,162B,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155D
15061496,4 Pigmentado con abundante verde,N77A,8 Violeta,N88A,4 Verde con abundantes puntos blancos,144A,7 Rojo-morado,178A,2 Amarillo,162B,2 Crema,155A,4 Morado,N92D,1 Blanco,NN155D
15061498,7 Morado,200A,8 Violeta,86A,1 Verde,144A,8 Morado,N186A,2 Amarillo,162B,2 Crema,160D,4 Morado,N92D,1 blanco,NN155D
15062123,2 Verde con pocas manchas,144A,7 Morado,N88C,2 Verde con pocos puntos blancos,144A,2 Amarillo,161A,6 Rojo,181A,2 Crema,155A,4 Morado,N92C,0 Ausente,
15061499,2 Verde con pocas manchas,144A,7 Morado,N88D,1 Verde,N144A,2 Amarillo,162B,6 Rojo,182A,2 Crema,160D,1 Blanco,N92D,1 Blanco,NN155D
15061500,1 Verde,144A,7 Morado,N81A,1 Verde,146B,2 Amarillo,160A,5 Rosado,182A,1 Blanco,155C,3 Rojo,N80B,1 Blanco,NN155A
15061501,4 Pigmentado con abundante verde,N77A,7 Morado,N82A,5 Verde con áreas pigmentadas,146B,2 Amarillo,165C,6 Rojo,178B,2 Crema,155A,3 Rojo,N80A,1 Blanco,NN155D
15061503,3 Verde con muchas manchas,144A,7 Morado,N88C,1 Verde,144B,8 Morado,N77D,1 Blanco-crema,160B,2 Crema,160C,4 Morado,92D,1 Blanco,NN155D
15061504,2 Verde con pocas manchas,137B,7 Morado,N82B,5 Verde con áreas pigmentadas,144A,8 Morado,N77D,1 Blanco-crema,160B,2 Crema,155A,4 Morado,90D,1 Blanco,NN155C
15061505,3 Verde con muchas manchas,137C,7 Morado,N81A,5 Verde con áreas pigmentadas,144B,6 Rojo,182A,0 Ausente,00,3 Amarillo claro,160C,3 Rojo,N78A,0 Ausente,
15061507,3 Verde con muchas manchas,144A,8 Violeta,N81A,2 Verde con pocos puntos blancos,N144A,8 Morado,183C,2 Amarillo,160A,2 Crema,155A,4 Morado,90B,1 Blanco,NN155A
15061508,4 Pigmentado con abundante verde,N77A,8 Violeta,N81A,2 Verde con pocos puntos blancos,144B,1 Blanco-crema,160A,8 Morado,183B,2 Crema,155A,4 Morado,90B,1 Blanco,NN155A
15061509,3 Verde con muchas manchas,144A,1 Blanco,155A,5 Verde con áreas pigmentadas,144B,9 Negruzco,N187A,0 Ausente,,2 Crema,160D,4 Morado,N92D,1 Blanco,NN155A
15061511,3 Verde con muchas manchas,144A,1 Blanco,155A,5 Verde con áreas pigmentadas,146B,9 Negruzco,N186A,0 Ausente,,2 Crema,155A,4 Morado,N92C,1 Blanco,NN155A
15061514,2 Verde con pocas manchas,144A,7 Morado,N88D,4 Verde con abundantes puntos blancos,144B,6 Rojo,181A,2 Amarillo,162B,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155D
15062124,3 Verde con muchas manchas,137B,1 Blanco,155A,5 Verde con áreas pigmentadas,N144A,9 Negruzco,N186B,0 Ausente,,2 Crema,160D,4 Morado,N92D,1 Blanco,NN155D
15061515,3 Verde con muchas manchas,137B,1 Blanco,155A,5 Verde con áreas pigmentadas,146C,7 Rojo-morado,183B,1 Blanco-crema,173D,3 Amarillo claro,160D,4 Morado,N92D,1 Blanco,NN155D
15061516,4 Pigmentado con abundante verde,N77A,6 Lila,N80A,1 Verde,144B,6 Rojo,183C,0 Ausente,,2 Crema,155B,3 Rojo,71A,1 Blanco,NN155B
15061517,3 Verde con muchas manchas,137A,7 Morado,N82A,5 Verde con áreas pigmentadas,144A,6 Rojo,187B,2 Amarillo,160A,2 Crema,160D,4 Morado,91B,1 Blanco,NN155D
15061518,3 Verde con muchas manchas,144A,7 Morado,N82A,2 Verde con pocos puntos blancos,144B,7 Rojo-morado,187B,2 Amarillo,162B,1 Blanco,155A,4 Morado,91A,1 Blanco,NN155A
15061520,3 Verde con muchas manchas,144A,7 Morado,N82A,4 Verde con abundantes puntos blancos,146B,7 Rojo-morado,178A,2 Amarillo,162B,3 Amarillo claro,160B,4 Morado,N79D,1 Blanco,NN155A
15061521,4 Pigmentado con abundante verde,N77A,7 Morado,N82C,4 Verde con abundantes puntos blancos,144B,7 Rojo-morado,183B,2 Amarillo,162B,4 Amarillo,160B,4 Morado,N75B,1 Blanco,NN155D
15061522,4 Pigmentado con abundante verde,N77A,7 Morado,N82A,1 Verde,144B,2 Amarillo,162A,8 Morado,183C,1 Blanco,155A,4 Morado,N92C,0 Ausente,
15061523,5 Pigmentado con poco verde,N77A,8 Violeta,N82A,1 Verde,145A,9 Negruzco,N186C,2 Amarillo,160A,1 Blanco,155A,4 Morado,N92C,1 Blanco,NN155A
15061524,5 Pigmentado con poco verde,N77A,8 Violeta,N82C,4 Verde con abundantes puntos blancos,143C,9 Negruzco,N187A,6 Rojo,187D,2 Crema,155A,4 Morado,N92D,0 Ausente,
15061525,3 Verde con muchas manchas,144A,8 Violeta,83A,2 Verde con pocos puntos blancos,145A,8 Morado,N77B,2 Amarillo,160A,1 Blanco,155A,4 Morado,90C,1 Blanco,NN155D
15061526,5 Pigmentado con poco verde,N77A,7 Morado,90C,4 Verde con abundantes puntos blancos,144A,7 Rojo-morado,187A,2 Amarillo,161A,2 Crema,160C,4 Morado,92C,0 Ausente,
15061527,5 Pigmentado con poco verde,N77A,7 Morado,N87C,4 Verde con abundantes puntos blancos,146B,7 Rojo-morado,187A,0 Ausente,,2 Crema,160D,4 Morado,N88B,1 Blanco,NN155B
15061528,7 Morado,200A,7 Morado,N82A,2 Verde con pocos puntos blancos,144B,6 Rojo,183C,8 Morado,N186C,2 Crema,160D,4 Morado,N92C,0 Ausente,
15061529,3 Verde con muchas manchas,144A,1 Blanco,155A,5 Verde con áreas pigmentadas,144B,8 Morado,N187A,0 Ausente,,2 Crema,160D,4 Morado,N92D,1 Blanco,NN155D
15061530,3 Verde con muchas manchas,144A,8 Violeta,83B,2 Verde con pocos puntos blancos,144B,8 Morado,N186C,1 Blanco-crema,164C,1 Blanco,155A,4 Morado,94B,1 Blanco,NN155A
15061533,3 Verde con muchas manchas,144A,8 Violeta,N89A,2 Verde con pocos puntos blancos,143A,8 Morado,N77A,2 Amarillo,162B,1 Blanco,155A,4 Morado,N92D,1 Blanco,NN155D
15061534,2 Verde con pocas manchas,144A,7 Morado,N82B,4 Verde con abundantes puntos blancos,146B,8 Morado,N186B,0 Ausente,,4 Amarillo,160A,4 Morado,90A,0 Ausente,
15061535,4 Pigmentado con abundante verde,N77A,7 Morado,N87B,2 Verde con pocos puntos blancos,144A,7 Rojo-morado,183A,2 Amarillo,162B,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155D
15061536,5 Pigmentado con poco verde,N77A,7 Morado,N81A,1 Verde,N144A,9 Negruzco,N186A,2 Amarillo,162B,1 Blanco,155A,4 Morado,N92C,1 Blanco,NN155D
15061537,2 Verde con pocas manchas,144A,1 Blanco,155A,1 Verde,144C,5 Rosado,182B,1 Blanco-crema,163D,3 Amarillo claro,160C,4 Morado,90D,1 Blanco,NN155A
15062126,5 Pigmentado con poco verde,N77A,7 Morado,86C,5 Verde con áreas pigmentadas,N144A,9 Negruzco,N187A,2 Amarillo,161B,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155D
15061538,5 Pigmentado con poco verde,N77A,8 Violeta,83C,5 Verde con áreas pigmentadas,N144,9 Negruzco,N187A,2 Amarillo,162A,1 Blanco,155A,4 Morado,90D,1 Blanco,NN155A
15061539,3 Verde con muchas manchas,144A,8 Violeta,N82A,5 Verde con áreas pigmentadas,144A,2 Amarillo,161A,8 Morado,N79A,2 Crema,160D,4 Morado,90B,1 Blanco,NN155D
15061540,2 Verde con pocas manchas,144A,8 Violeta,N82A,5 Verde con áreas pigmentadas,145A,2 Amarillo,162B,6 Rojo,178B,2 Crema,160D,4 Morado,N92C,0 Ausente,
15061542,2 Verde con pocas manchas,144A,7 Morado,N81C,4 Verde con abundantes puntos blancos,146B,7 Rojo-morado,187A,2 Amarillo,162B,3 Amarillo claro,160D,4 Morado,N87B,1 Blanco,NN155C
15061543,1 Verde,144A,7 Morado,N81B,1 Verde,144B,6 Rojo,183C,2 Amarillo,162B,3 Amarillo claro,160D,4 Morado,N92D,1 Blanco,NN155A
15061544,5 Pigmentado con poco verde,N77A,7 Morado,N81D,6 Verde con bandas pigmentadas,146B,8 Morado,187A,2 Amarillo,162A,1 Blanco,155C,4 Morado,N92D,1 Blanco,NN155A
15061546,4 Pigmentado con abundante verde,N77A,8 Violeta,N81B,2 Verde con pocos puntos blancos,144A,8 Morado,N186A,2 Amarillo,162B,1 Blanco,155A,4 Morado,N92D,1 Blanco,NN155D
15061548,3 Verde con muchas manchas,144A,7 Morado,N81A,5 Verde con áreas pigmentadas,144A,6 Rojo,187B,0 Ausente,,2 Crema,160C,4 Morado,N81B,1 Blanco,NN155D
15061549,3 Verde con muchas manchas,137C,7 Morado,N81A,2 Verde con pocos puntos blancos,143A,8 Morado,N187A,2 Amarillo,162C,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155A
15061550,5 Pigmentado con poco verde,N77A,7 Morado,N87D,4 Verde con abundantes puntos blancos,144A,7 Rojo-morado,187A,2 Amarillo,160A,2 Crema,160C,4 Morado,N92D,1 Blanco,NN155D
15061551,2 Verde con pocas manchas,144A,7 Morado,N81B,.,.,2 Amarillo,162B,5 Rosado,182B,1 Blanco,155A,3 Rojo,N78B,1 Blanco,NN155A
15061552,2 Verde con pocas manchas,144A,7 Morado,N81D,1 Verde,144A,6 Rojo,183B,0 Ausente,,3 Amarillo claro,160C,3 Rojo,N78A,1 Blanco,NN155D
15061553,2 Verde con pocas manchas,144A,7 Morado,92C,4 Verde con abundantes puntos blancos,144A,6 Rojo,184B,0 Ausente,00,4 Amarillo,160D,4 Morado,N92D,1 Blanco,NN155D
15061554,2 Verde con pocas manchas,137A,7 Morado,N82C,4 Verde con abundantes puntos blancos,144A,1 Blanco-crema,164C,6 Rojo,N77B,2 Crema,160B,4 Morado,86B,1 Blanco,NN155D
15061555,2 Verde con pocas manchas,137A,7 Morado,92B,4 Verde con abundantes puntos blancos,144A,5 Rosado,181B,2 Amarillo,160B,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155D
15061556,2 Verde con pocas manchas,144A,7 Morado,N82A,5 Verde con áreas pigmentadas,144A,2 Amarillo,160A,5 Rosado,181D,1 Blanco,155A,4 Morado,N87C,1 Blanco,NN155A
15061956,5 Pigmentado con poco verde,N77A,7 Morado,N82C,5 Verde con áreas pigmentadas,144A,7 Rojo-morado,183A,0 Ausente,,4 Amarillo,160C,4 Morado,N92D,1 Blanco,NN155A
15061957,2 Verde con pocas manchas,144A,7 Morado,N87D,5 Verde con áreas pigmentadas,146B,6 Rojo,183C,0 Ausente,,2 Crema,155A,4 Morado,N82A,1 Blanco,NN155D
15061557,2 Verde con pocas manchas,144A,7 Morado,N87C,2 Verde con pocos puntos blancos,146B,6 Rojo,184A,2 Amarillo,160A,2 Crema,160D,4 Morado,N92C,0 Ausente,
15061560,2 Verde con pocas manchas,144A,7 Morado,N82C,2 Verde con pocos puntos blancos,144B,6 Rojo,184A,3 Anaranjado,174B,2 Crema,160D,4 Morado,N92D,1 Blanco,NN155D
15061561,1 Verde,144A,7 Morado,N82A,1 Verde,144A,2 Amarillo,160A,8 Morado,N77B,2 Crema,160D,4 Morado,75A,1 Blanco,NN155A
15061563,2 Verde con pocas manchas,144A,8 Violeta,N88B,1 Verde,144A,2 Amarillo,162A,7 Rojo-morado,187A,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155A
15061564,2 Verde con pocas manchas,144A,7 Morado,N82C,1 Verde,143A,7 Rojo-morado,168A,2 Amarillo,160A,2 Crema,155A,4 Morado,N81A,1 Blanco,NN155A
15061565,2 Verde con pocas manchas,137A,7 Morado,N82B,4 Verde con abundantes puntos blancos,146A,5 Rosado,184A,2 Amarillo,161C,4 Amarillo,160C,3 Rojo,N78B,1 Blanco,NN155D
15061566,5 Pigmentado con poco verde,N77A,8 Violeta,N87B,6 Verde con bandas pigmentadas,146B,9 Negruzco,N186A,1 Blanco-crema,160A,1 Blanco,155A,4 Morado,N92D,1 Blanco,NN155A
15061567,1 Verde,144A,7 Morado,N80C,2 Verde con pocos puntos blancos,144B,2 Amarillo,162A,6 Rojo,176B,3 Amarillo claro,160C,3 Rojo,N78A,1 Blanco,NN155A
15061568,2 Verde con pocas manchas,144A,7 Morado,N82A,1 Verde,144A,2 Amarillo,160A,6 Rojo,181A,2 Crema,160D,4 Morado,N82B,1 Blanco,NN155A
15061571,3 Verde con muchas manchas,144A,7 Morado,N82C,1 Verde,N144A,6 Rojo,184B,3 Anaranjado,165D,1 Blanco,155A,4 Morado,N81B,1 Blanco,NN155D
15061958,2 Verde con pocas manchas,144A,7 Morado,N82D,5 Verde con áreas pigmentadas,145B,2 Amarillo,162A,5 Rosado,182A,2 Crema,160D,3 Rojo,N78B,1 Blanco,NN155A
15061575,3 Verde con muchas manchas,137C,8 Violeta,86B,5 Verde con áreas pigmentadas,144B,6 Rojo,185B,0 Ausente,,3 Amarillo claro,160D,4 Morado,N92C,0 Ausente,
15062130,2 Verde con pocas manchas,144A,7 Morado,83D,2 Verde con pocos puntos blancos,N144A,6 Rojo,184A,2 Amarillo,161A,2 Crema,155A,3 Rojo,71A,1 Blanco,NN155D
15061576,3 Verde con muchas manchas,137C,7 Morado,N87D,1 Verde,144A,1 Blanco-crema,160B,8 Morado,N77B,2 Crema,160D,4 Morado,N92D,1 Blanco,NN155A
15061577,3 Verde con muchas manchas,144A,7 Morado,N82A,1 Verde,144A,8 Morado,N187A,1 Blanco-crema,162A,3 Amarillo claro,160C,4 Morado,N92C,1 Blanco,NN155A
15061578,7 Morado,200A,7 Morado,N82C,1 Verde,144A,8 Morado,N186C,2 Amarillo,161B,2 Crema,155A,4 Morado,N81A,1 Blanco,NN155A
15061579,5 Pigmentado con poco verde,N77A,7 Morado,N82A,1 Verde,145A,8 Morado,N186C,1 Blanco-crema,160A,2 Crema,155A,4 Morado,N92D,1 Blanco,NN155A
15062356,3 Verde con muchas manchas,137A,7 Morado,N87C,4 Verde con abundantes puntos blancos,143C,9 Negruzco,N186A,0 Ausente,,4 Amarillo,160C,4 Morado,N92C,1 Blanco,NN155D
15061580,3 Verde con muchas manchas,137A,7 Morado,91A,5 Verde con áreas pigmentadas,144B,7 Rojo-morado,187A,2 Amarillo,160A,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155A
15061583,1 Verde,144A,7 Morado,N87C,5 Verde con áreas pigmentadas,144A,8 Morado,N77D,1 Blanco-crema,160D,1 Blanco,155A,4 Morado,90D,1 Blanco,NN155D
15061584,2 Verde con pocas manchas,144A,7 Morado,N82A,5 Verde con áreas pigmentadas,144B,6 Rojo,181B,2 Amarillo,162B,2 Crema,155A,4 Morado,N81B,1 Blanco,NN155A
15061585,3 Verde con muchas manchas,137C,7 Morado,N81D,.,.,8 Morado,N77A,1 Blanco-crema,162D,1 Blanco,155C,4 Morado,N92D,1 Blanco,NN155A
