BASIC,NAME_BSC,RHS,INTENSITY,NAME_INT
7,7 Morado,N82A,3,3 Intenso / Oscuro
7,7 Morado,91A,1,1 Pálido / Claro
7,7 Morado,N87D,3,3 Intenso / Oscuro
7,7 Morado,N88B,3,3 Intenso / Oscuro
6,6 Lila,92A,2,2 Intermedio
7,7 Morado,N82A,3,3 Intenso / Oscuro
7,7 Morado,N82A,3,3 Intenso / Oscuro
7,7 Morado,N81A,3,3 Intenso / Oscuro
7,7 Morado,N88D,1,1 Pálido / Claro
7,7 Morado,N88D,1,1 Pálido / Claro
7,7 Morado,N88B,3,3 Intenso / Oscuro
7,7 Morado,90B,3,3 Intenso / Oscuro
7,7 Morado,84A,3,3 Intenso / Oscuro
7,7 Morado,N80C,2,2 Intermedio
7,7 Morado,N81C,3,3 Intenso / Oscuro
7,7 Morado,86C,3,3 Intenso / Oscuro
7,7 Morado,N82A,3,3 Intenso / Oscuro
6,6 Lila,N82B,3,3 Intenso / Oscuro
7,7 Morado,92A,3,3 Intenso / Oscuro
7,7 Morado,N81B,3,3 Intenso / Oscuro
7,7 Morado,90C,3,3 Intenso / Oscuro
7,7 Morado,92B,1,1 Pálido / Claro
7,7 Morado,N82A,3,3 Intenso / Oscuro
7,7 Morado,92C,1,1 Pálido / Claro
7,7 Morado,N82A,3,3 Intenso / Oscuro
7,7 Morado,91B,2,2 Intermedio
7,7 Morado,N81C,2,2 Intermedio
7,7 Morado,N88B,1,1 Pálido / Claro
8,8 Violeta,86B,3,3 Intenso / Oscuro
7,7 Morado,N82A,3,3 Intenso / Oscuro
6,6 Morado,N82A,3,3 Intenso / Oscuro
7,7 Morado,N88C,2,2 Intermedio
7,7 Morado,92B,3,3 Intenso / Oscuro
7,7 Morado,N82C,3,3 Intenso / Oscuro
7,7 Morado,N81B,3,3 Intenso / Oscuro
7,7 Morado,N81B,3,3 Intenso / Oscuro
7,7 Morado,N81B,3,3 Intenso / Oscuro
7,7 Morado,N81C,3,3 Intenso / Oscuro
7,7 Morado,N87B,2,2 Intermedio
